Name,Location,coordinates,lat,lon,Zipcode,Date established as park,"Area, acres","area, acres","area, km^2",Recreation visitors,Description,
Grand Canyon,Arizona,36.06°N 112.14°W,36.06,-112.14,54331,26-Feb-19,"1,201,647.03 acres (4,862.9 km2)","1,201,647.03","4,862.90","6,380,495","The Grand Canyon, carved by the mighty Colorado River, is 277 miles (446 km) long, up to 1 mile (1.6 km) deep, and up to 15 miles (24 km) wide. Millions of years of erosion have exposed the multicolored layers of the Colorado Plateau in mesas and canyon walls, visible from both the north and south rims, or from a number of trails that descend into the canyon itself.[54] (WHS)[55]",
Grand Teton,Wyoming,43.73°N 110.80°W,43.73,-110.8,46662,26-Feb-29,"310,044.36 acres (1,254.7 km2)","310,044.36","1,254.70","3,491,151","Grand Teton is the tallest mountain in the Teton Range. The park's historic Jackson Hole and reflective piedmont lakes teem with endemic wildlife, with a backdrop of craggy mountains that rise abruptly from the sage-covered valley.[56] (BR)[4]",
Great Basin,Nevada,38.98°N 114.30°W,38.98,-114.3,14463,27-Oct-86,"77,180.00 acres (312.3 km2)","77,180.00",312.3,"153,094","Based around Nevada's second tallest mountain, Wheeler Peak, Great Basin National Park contains 5,000-year-old bristlecone pines, a rock glacier, and the limestone Lehman Caves. Due to its remote location, the park has some of the country's darkest night skies. Wildlife includes the Townsend's big-eared bat, pronghorn, and Bonneville cutthroat trout.[57]",
Great Sand Dunes,Colorado,37.73°N 105.51°W,37.73,-105.51,94672,13-Sep-04,"107,341.87 acres (434.4 km2)","107,341.87",434.4,"442,905","The tallest sand dunes in North America, up to 750 feet (230 m) tall, were formed by deposits of the ancient Rio Grande in the San Luis Valley. Abutting a variety of grasslands, shrublands, and wetlands, the park also has alpine lakes, six 13,000-foot mountains, and old-growth forests.[58]",
Great Smoky Mountains,"North Carolina, Tennessee",35.68°N 83.53°W,35.68,-83.53,74625,15-Jun-34,"522,426.88 acres (2,114.2 km2)","522,426.88","2,114.20","11,421,200","The Great Smoky Mountains, part of the Appalachian Mountains, span a wide range of elevations, making them home to over 400 vertebrate species, 100 tree species, and 5000 plant species. Hiking is the park's main attraction, with over 800 miles (1,300 km) of trails, including 70 miles (110 km) of the Appalachian Trail. Other activities include fishing, horseback riding, and touring nearly 80 historic structures.[59] (WHS)[60] (BR)[61]",
Guadalupe Mountains,Texas,31.92°N 104.87°W,31.92,-104.87,46872,15-Oct-66,"86,367.10 acres (349.5 km2)","86,367.10",349.5,"172,347","This park contains Guadalupe Peak, the highest point in Texas, as well as the scenic McKittrick Canyon filled with bigtooth maples, a corner of the arid Chihuahuan Desert, and a fossilized coral reef from the Permian era.[62]",
Haleakalā,Hawaii,20.72°N 156.17°W,20.72,-156.17,47795,1-Jul-61,"33,264.62 acres (134.6 km2)","33,264.62",134.6,"1,044,084","The Haleakalā volcano on Maui features a very large crater with numerous cinder cones, Hosmer's Grove of alien trees, the Kipahulu section's scenic pools of freshwater fish, and the native Hawaiian goose. The park protects the greatest number of endangered species within a U.S. National Park.[63] (BR)[64]",
Hawaiʻi Volcanoes,Hawaii,19.38°N 155.20°W,19.38,-155.2,81425,1-Aug-16,"325,605.28 acres (1,317.7 km2)","325,605.28","1,317.70","1,116,891","This park on the Big Island protects the Kīlauea and Mauna Loa volcanoes, two of the world's most active geological features. Diverse ecosystems range from tropical forests at sea level to barren lava beds at more than 13,000 feet (4,000 m).[65] (WHS)[66] (BR)[64]",
Hot Springs,Arkansas,34.51°N 93.05°W,34.51,-93.05,75242,4-Mar-21,"5,554.15 acres (22.5 km2)","5,554.15",22.5,"1,506,887","Hot Springs was established as a federal reserve by Congress on April 20, 1832—the oldest area managed by the National Park Service. Congress redesignated Hot Springs as a national park on March 4, 1921. Natural hot springs flow out of the Ouachita Mountains, providing opportunities for relaxation in a historic setting. Bathhouse Row preserves numerous examples of 19th-century architecture.[67] Hot Springs is the first national park in a city and was the smallest national park until February 22, 2018 when the Jefferson National Expansion Memorial was redesignated Gateway Arch National Park.[68]",
Indiana Dunes,Indiana,41.6533°N 87.0524°W,41.6533,-87.0524,13853,15-Feb-19,"15,349.08 acres (62.1 km2)","15,349.08",62.1,"1,756,079","Previously designated a national lakeshore, the dunes run for nearly 25 miles (40 km) along the southern shore of Lake Michigan. The sandy beach adjoins a grassy prairie, bog, and wetlands home to over 2,000 species.[69]",
Isle Royale,Michigan,48.10°N 88.55°W,48.1,-88.55,38156,3-Apr-40,"571,790.30 acres (2,314.0 km2)","571,790.30","2,314.00","25,798","The largest island in Lake Superior is a place of isolation and wilderness. Along with its many shipwrecks, waterways, and hiking trails, the park also includes over 400 smaller islands within 4.5 miles (7.2 km) of its shores. There are only 20 mammal species on the entire island, though the relationship between its wolf and moose populations is especially unique.[70] (BR)[71]",
Joshua Tree,California,33.79°N 115.90°W,33.79,-115.9,19237,31-Oct-94,"795,155.85 acres (3,217.9 km2)","795,155.85","3,217.90","2,942,382","Covering large areas of the Colorado and Mojave Deserts and the Little San Bernardino Mountains, this desert landscape is populated by vast stands of Joshua trees. Large changes in elevation reveal various contrasting environments including bleached sand dunes, dry lakes, rugged mountains, and maze-like clusters of monzogranite monoliths.[72] (BR)[37]",
Katmai,Alaska,58.50°N 155.00°W,58.5,-155,27432,2-Dec-80,"3,674,529.33 acres (14,870.3 km2)","3,674,529.33","14,870.30","37,818","This park on the Alaska Peninsula protects the Valley of Ten Thousand Smokes, an ash flow formed by the 1912 eruption of Novarupta, as well as Mount Katmai. Over 2,000 grizzly bears come here each year to catch spawning salmon. Other wildlife includes caribou, wolves, moose, and wolverines.[73]",
Kenai Fjords,Alaska,59.92°N 149.65°W,59.92,-149.65,22312,2-Dec-80,"669,650.05 acres (2,710.0 km2)","669,650.05","2,710.00","321,596","Near Seward on the Kenai Peninsula, this park protects the Harding Icefield and at least 38 glaciers and fjords stemming from it. The only area accessible to the public by road is Exit Glacier; the rest must be viewed or reached from boat tours.[74]",
Kings Canyon,California,36.80°N 118.55°W,36.8,-118.55,33821,4-Mar-40,"461,901.20 acres (1,869.2 km2)","461,901.20","1,869.20","699,023","Home to several giant sequoia groves and the General Grant Tree, the world's second largest measured tree, this park also features part of the Kings River, sculptor of the dramatic granite canyon that is its namesake, and the San Joaquin River, as well as Boyden Cave.[75] Although Kings Canyon National Park was designated as such in 1940, it subsumed General Grant National Park, which had been established on October 1, 1890 as the United States' fourth national park.[76][77][78](BR)[79]",
Kobuk Valley,Alaska,67.55°N 159.28°W,67.55,-159.28,37248,2-Dec-80,"1,750,716.16 acres (7,084.9 km2)","1,750,716.16","7,084.90","14,937","Kobuk Valley protects 61 miles (98 km) of the Kobuk River and three regions of sand dunes. Created by glaciers, the Great Kobuk, Little Kobuk, and Hunt River Sand Dunes can reach 100 feet (30 m) high and 100 °F (38 °C), and they are the largest dunes in the Arctic. Twice a year, half a million caribou migrate through the dunes and across river bluffs that expose well-preserved ice age fossils.[80]",
