,Name,Location,coordinates,lat,lon,Date established as park,"Area, acres","area, acres","area, km^2",Recreation visitors,Description,national park full name,State,Park Designation,Park Code,postalCode,list of postal codes,count_of_postCodes,total population
10,Channel Islands,California,34.01°N 119.42°W,34.01,-119.42,5-Mar-80,"249,561.00 acres (1,009.9 km2)","249,561.00","1,009.90",366250,"Five of the eight Channel Islands are protected, and half of the park's area is underwater. The islands have a unique Mediterranean ecosystem originally settled by the Chumash people. They are home to over 2,000 species of land plants and animals, and 145 are unique to them, including the island fox. Ferry services offer transportation to the islands from the mainland.[28] (BR)[29]",Channel Islands National Park,CA,National Park,chis,93001,"['90024', '90025', '90049', '90077', '90263', '90265', '90272', '90290', '90291', '90292', '90293', '90401', '90402', '90403', '90404', '90405', '90421', '91301', '91302', '91303', '91304', '91306', '91307', '91311', '91316', '91319', '91320', '91321', '91324', '91325', '91326', '91335', '91340', '91343', '91344', '91345', '91351', '91354', '91355', '91356', '91358', '91359', '91360', '91361', '91362', '91364', '91367', '91377', '91381', '91384', '91401', '91402', '91403', '91405', '91406', '91411', '91423', '91436', '93001', '93002', '93003', '93004', '93005', '93006', '93007', '93009', '93010', '93011', '93012', '93013', '93014', '93015', '93016', '93020', '93021', '93022', '93023', '93024', '93030', '93031', '93032', '93033', '93034', '93035', '93036', '93040', '93041', '93042', '93043', '93044', '93060', '93061', '93062', '93063', '93064', '93065', '93066', '93067', '93093', '93094', '93099', '93101', '93102', '93103', '93105', '93106', '93107', '93108', '93109', '93110', '93111', '93116', '93117', '93118', '93120', '93121', '93130', '93140', '93150', '93160', '93190', '93199', '93203', '93206', '93220', '93222', '93224', '93225', '93241', '93243', '93251', '93252', '93254', '93263', '93268', '93276', '93301', '93302', '93303', '93304', '93305', '93306', '93307', '93308', '93309', '93311', '93312', '93313', '93325', '93380', '93381', '93382', '93383', '93384', '93385', '93386', '93387', '93388', '93389', '93390', '93438', '93441', '93453', '93460', '93463', '93464', '93518', '93524', '93531', '93532', '93556', '93561', '93581', '93596']",174,3340423.0
11,Congaree,South Carolina,33.78°N 80.78°W,33.78,-80.78,10-Nov-03,"26,476.47 acres (107.1 km2)","26,476.47",107.1,145929,"On the Congaree River, this park is the largest portion of old-growth floodplain forest left in North America. Some of the trees are the tallest in the eastern United States. An elevated walkway called the Boardwalk Loop guides visitors through the swamp.[30] (BR)[31]",Congaree National Park,SC,National Park,cong,29061,"['28003', '28007', '28079', '28103', '28104', '28105', '28108', '28110', '28111', '28112', '28119', '28133', '28134', '28135', '28170', '28173', '28174', '28210', '28226', '28247', '28270', '28273', '28277', '28278', '29001', '29002', '29003', '29006', '29009', '29010', '29014', '29015', '29016', '29018', '29020', '29030', '29031', '29032', '29033', '29036', '29038', '29039', '29040', '29041', '29042', '29044', '29045', '29046', '29047', '29048', '29051', '29052', '29053', '29054', '29055', '29056', '29058', '29059', '29061', '29062', '29063', '29065', '29066', '29067', '29069', '29070', '29071', '29072', '29073', '29074', '29075', '29078', '29079', '29080', '29081', '29082', '29101', '29102', '29103', '29104', '29105', '29106', '29107', '29108', '29111', '29112', '29113', '29115', '29116', '29117', '29118', '29122', '29123', '29124', '29125', '29126', '29127', '29128', '29129', '29130', '29132', '29133', '29135', '29137', '29142', '29143', '29146', '29147', '29148', '29150', '29151', '29152', '29153', '29154', '29160', '29162', '29163', '29164', '29166', '29168', '29169', '29170', '29171', '29172', '29175', '29176', '29177', '29178', '29180', '29201', '29202', '29203', '29204', '29205', '29206', '29207', '29208', '29209', '29210', '29211', '29212', '29214', '29215', '29216', '29217', '29218', '29219', '29220', '29221', '29222', '29223', '29224', '29225', '29226', '29227', '29228', '29229', '29230', '29233', '29240', '29250', '29260', '29290', '29292', '29321', '29340', '29341', '29342', '29353', '29364', '29379', '29404', '29405', '29406', '29407', '29410', '29414', '29418', '29420', '29423', '29426', '29432', '29433', '29435', '29436', '29437', '29445', '29447', '29448', '29449', '29452', '29455', '29456', '29461', '29468', '29469', '29470', '29471', '29472', '29474', '29475', '29477', '29481', '29483', '29484', '29485', '29488', '29493', '29494', '29550', '29551', '29584', '29702', '29703', '29704', '29706', '29708', '29709', '29710', '29712', '29714', '29715', '29716', '29717', '29718', '29720', '29721', '29722', '29724', '29726', '29727', '29728', '29729', '29730', '29731', '29732', '29733', '29734', '29741', '29742', '29743', '29744', '29745', '29801', '29802', '29803', '29804', '29805', '29808', '29809', '29810', '29812', '29813', '29817', '29826', '29827', '29836', '29839', '29843', '29846', '29849', '29853', '29856', '29861', '29911', '29913', '29916', '29918', '29923', '29924', '29929', '29932', '29933', '29942', '29944', '30424', '30426', '30467']",278,2895467.0
12,Crater Lake,Oregon,42.94°N 122.1°W,42.94,-122.1,22-May-02,"183,224.05 acres (741.5 km2)","183,224.05",741.5,720659,"Crater Lake lies in the caldera of an ancient volcano called Mount Mazama that collapsed 7,700 years ago. The lake is the deepest in the United States and is noted for its vivid blue color and water clarity. Wizard Island and the Phantom Ship are more recent volcanic formations within the caldera. As the lake has no inlets or outlets, the lake is replenished only by precipitation.[32]",Crater Lake National Park,OR,National Park,crla,97604,"['96023', '96044', '96050', '96134', '97264', '97401', '97403', '97404', '97405', '97408', '97413', '97424', '97425', '97426', '97427', '97429', '97431', '97434', '97438', '97440', '97443', '97447', '97452', '97454', '97455', '97463', '97472', '97477', '97478', '97482', '97484', '97488', '97489', '97492', '97501', '97502', '97503', '97504', '97520', '97522', '97524', '97525', '97530', '97535', '97536', '97539', '97540', '97541', '97601', '97602', '97603', '97604', '97624', '97625', '97626', '97627', '97632', '97633', '97634', '97639', '97707', '97731', '97733', '97737', '97739']",65,566091.0
13,Cuyahoga Valley,Ohio,41.24°N 81.55°W,41.24,-81.55,11-Oct-00,"32,571.88 acres (131.8 km2)","32,571.88",131.8,2096053,"This park along the Cuyahoga River has waterfalls, hills, trails, and exhibits on early rural living. The Ohio and Erie Canal Towpath Trail follows the Ohio and Erie Canal, where mules towed canal boats. The park has numerous historic homes, bridges, and structures,[33] and also offers a scenic train ride.[34]",Cuyahoga Valley National Park,OH,National Park,cuva,44141,"['43005', '43006', '43014', '43022', '43028', '43037', '43048', '43050', '43058', '43071', '43080', '43093', '43098', '43628', '43749', '43802', '43803', '43804', '43805', '43811', '43812', '43821', '43822', '43824', '43828', '43832', '43836', '43837', '43840', '43842', '43843', '43844', '43845', '43901', '43903', '43905', '43907', '43908', '43910', '43916', '43917', '43925', '43927', '43930', '43937', '43939', '43941', '43944', '43945', '43948', '43950', '43951', '43962', '43966', '43970', '43972', '43973', '43974', '43976', '43977', '43981', '43983', '43984', '43986', '43988', '43989', '44001', '44004', '44005', '44010', '44011', '44012', '44017', '44021', '44022', '44023', '44024', '44026', '44028', '44033', '44035', '44036', '44039', '44040', '44041', '44044', '44045', '44046', '44049', '44050', '44052', '44053', '44054', '44055', '44056', '44057', '44060', '44061', '44062', '44064', '44065', '44067', '44070', '44072', '44073', '44074', '44076', '44077', '44080', '44081', '44084', '44085', '44086', '44087', '44088', '44089', '44090', '44092', '44094', '44095', '44096', '44097', '44099', '44101', '44102', '44103', '44104', '44105', '44106', '44107', '44108', '44109', '44110', '44111', '44112', '44113', '44114', '44115', '44116', '44117', '44118', '44119', '44120', '44121', '44122', '44123', '44124', '44125', '44126', '44127', '44128', '44129', '44130', '44131', '44132', '44133', '44134', '44135', '44136', '44137', '44138', '44139', '44140', '44141', '44142', '44143', '44144', '44145', '44146', '44147', '44149', '44168', '44177', '44178', '44179', '44181', '44184', '44185', '44186', '44188', '44189', '44190', '44191', '44192', '44193', '44194', '44195', '44197', '44198', '44199', '44201', '44202', '44203', '44210', '44211', '44212', '44214', '44215', '44216', '44217', '44221', '44222', '44223', '44224', '44230', '44231', '44232', '44233', '44234', '44235', '44236', '44237', '44238', '44240', '44241', '44242', '44243', '44250', '44251', '44253', '44254', '44255', '44256', '44258', '44260', '44262', '44264', '44265', '44266', '44270', '44272', '44273', '44274', '44275', '44276', '44278', '44280', '44281', '44282', '44285', '44286', '44287', '44288', '44301', '44302', '44303', '44304', '44305', '44306', '44307', '44308', '44309', '44310', '44311', '44312', '44313', '44314', '44315', '44316', '44317', '44319', '44320', '44321', '44322', '44325', '44326', '44328', '44331', '44333', '44334', '44372', '44393', '44396', '44397', '44398', '44399', '44401', '44402', '44406', '44411', '44412', '44416', '44422', '44423', '44427', '44429', '44430', '44431', '44432', '44439', '44440', '44444', '44446', '44449', '44450', '44451', '44460', '44470', '44481', '44482', '44483', '44484', '44485', '44486', '44487', '44488', '44490', '44491', '44493', '44501', '44513', '44598', '44599', '44601', '44606', '44607', '44608', '44609', '44610', '44611', '44612', '44613', '44614', '44615', '44617', '44618', '44619', '44620', '44621', '44622', '44624', '44625', '44626', '44627', '44628', '44629', '44630', '44631', '44632', '44633', '44634', '44636', '44637', '44638', '44639', '44640', '44641', '44643', '44644', '44645', '44646', '44647', '44648', '44650', '44651', '44652', '44653', '44654', '44656', '44657', '44659', '44660', '44661', '44662', '44663', '44665', '44666', '44667', '44669', '44670', '44671', '44672', '44675', '44676', '44677', '44678', '44679', '44680', '44681', '44682', '44683', '44684', '44685', '44687', '44688', '44689', '44690', '44691', '44692', '44693', '44695', '44697', '44699', '44701', '44702', '44703', '44704', '44705', '44706', '44707', '44708', '44709', '44710', '44711', '44712', '44714', '44718', '44720', '44721', '44730', '44735', '44750', '44760', '44767', '44798', '44799', '44805', '44814', '44816', '44822', '44826', '44838', '44840', '44842', '44843', '44848', '44851', '44859', '44864', '44866', '44874', '44880', '44889', '44905']",434,3955806.0
14,Death Valley,"California, Nevada",36.24°N 116.82°W,36.24,-116.82,31-Oct-94,"3,408,406.73 acres (13,793.3 km2)","3,408,406.73","13,793.30",1678660,"Death Valley is the hottest, lowest, and driest place in the United States, with daytime temperatures that have exceeded 130 °F (54 °C). The park protects Badwater Basin and its vast salt flats located at the lowest elevation in North America, −282 ft (−86 m).[35] The park also protects canyons, badlands, sand dunes, mountain ranges, historic mines, springs, and more than 1000 species of plants which grow in this geologic graben.[36] (BR)[37]",Death Valley National Park,NV,National Park,deva,92328,"['89003', '89020', '92310', '92311', '92327', '92328', '92342', '92347', '92365', '92398', '93255', '93504', '93505', '93515', '93516', '93519', '93522', '93523', '93527', '93528', '93530', '93542', '93549', '93554', '93555', '93562']",26,116160.0
15,Denali,Alaska,63.33°N 150.50°W,63.33,-150.5,26-Feb-17,"4,740,911.16 acres (19,185.8 km2)","4,740,911.16","19,185.80",594660,"Centered on Denali, the tallest and highest prominence mountain in North America, Denali is serviced by a single road leading to Wonder Lake. Denali and other peaks of the Alaska Range are covered with long glaciers and boreal forest. Wildlife includes grizzly bears, Dall sheep, Porcupine caribou, and wolves.[38] (BR)[39]",Denali National Park & Preserve,AK,National Park & Preserve,dena,99755,"['99704', '99725', '99729', '99743', '99744', '99755', '99760']",7,2841.0
16,Dry Tortugas,Florida,24.63°N 82.87°W,24.63,-82.87,26-Oct-92,"64,701.22 acres (261.8 km2)","64,701.22",261.8,56810,"The islands of the Dry Tortugas, at the westernmost end of the Florida Keys, are the site of Fort Jefferson, a Civil War-era fort that is the largest masonry structure in the Western Hemisphere. The park is home to undisturbed coral reefs and shipwrecks, and is only accessible by plane or boat.[40] (BR)[41]",Dry Tortugas National Park,FL,National Park,drto,33034,"['33001', '33002', '33003', '33004', '33008', '33009', '33010', '33011', '33012', '33013', '33014', '33015', '33016', '33017', '33018', '33019', '33020', '33021', '33022', '33023', '33024', '33025', '33026', '33027', '33028', '33029', '33030', '33031', '33032', '33033', '33034', '33035', '33036', '33037', '33039', '33043', '33047', '33050', '33051', '33052', '33054', '33055', '33056', '33058', '33060', '33061', '33062', '33063', '33064', '33065', '33066', '33067', '33068', '33069', '33070', '33071', '33072', '33073', '33074', '33075', '33076', '33077', '33081', '33082', '33083', '33084', '33090', '33092', '33093', '33097', '33101', '33102', '33107', '33109', '33110', '33111', '33114', '33116', '33119', '33121', '33122', '33124', '33125', '33126', '33127', '33128', '33129', '33130', '33131', '33132', '33133', '33134', '33135', '33136', '33137', '33138', '33139', '33140', '33141', '33142', '33143', '33144', '33145', '33146', '33147', '33148', '33149', '33150', '33151', '33152', '33153', '33154', '33155', '33156', '33157', '33158', '33159', '33160', '33161', '33162', '33163', '33164', '33165', '33166', '33167', '33168', '33169', '33170', '33172', '33173', '33174', '33175', '33176', '33177', '33178', '33179', '33180', '33181', '33182', '33183', '33184', '33185', '33186', '33187', '33188', '33189', '33190', '33192', '33193', '33194', '33195', '33196', '33197', '33199', '33201', '33231', '33233', '33234', '33238', '33239', '33242', '33243', '33245', '33247', '33255', '33256', '33257', '33261', '33265', '33266', '33269', '33280', '33283', '33296', '33299', '33301', '33302', '33303', '33304', '33305', '33306', '33307', '33308', '33309', '33310', '33311', '33312', '33313', '33314', '33315', '33316', '33317', '33318', '33319', '33320', '33321', '33322', '33323', '33324', '33325', '33326', '33327', '33328', '33329', '33330', '33331', '33332', '33334', '33335', '33337', '33338', '33339', '33340', '33345', '33346', '33348', '33349', '33351', '33352', '33355', '33359', '33388', '33394', '33402', '33419', '33420', '33421', '33422', '33424', '33425', '33426', '33427', '33428', '33429', '33431', '33432', '33433', '33434', '33435', '33436', '33437', '33439', '33441', '33442', '33443', '33444', '33445', '33446', '33447', '33448', '33452', '33454', '33459', '33460', '33461', '33462', '33463', '33464', '33465', '33466', '33467', '33468', '33474', '33481', '33482', '33483', '33484', '33486', '33487', '33488', '33496', '33497', '33498', '33499', '33515', '34138', '34141', '34168']",278,5371656.0
17,Everglades,Florida,25.32°N 80.93°W,25.32,-80.93,30-May-34,"1,508,938.57 acres (6,106.5 km2)","1,508,938.57","6,106.50",597124,"The Everglades are the largest tropical wilderness in the United States. This mangrove and tropical rainforest ecosystem and marine estuary is home to 36 protected species, including the Florida panther, American crocodile, and West Indian manatee. Some areas have been drained and developed; restoration projects aim to restore the ecology.[42] (WHS)[43] (BR)[41]",Everglades National Park,FL,National Park,ever,33034,"['33001', '33002', '33003', '33004', '33008', '33009', '33010', '33011', '33012', '33013', '33014', '33015', '33016', '33017', '33018', '33019', '33020', '33021', '33022', '33023', '33024', '33025', '33026', '33027', '33028', '33029', '33030', '33031', '33032', '33033', '33034', '33035', '33036', '33037', '33039', '33043', '33047', '33050', '33051', '33052', '33054', '33055', '33056', '33058', '33060', '33061', '33062', '33063', '33064', '33065', '33066', '33067', '33068', '33069', '33070', '33071', '33072', '33073', '33074', '33075', '33076', '33077', '33081', '33082', '33083', '33084', '33090', '33092', '33093', '33097', '33101', '33102', '33107', '33109', '33110', '33111', '33114', '33116', '33119', '33121', '33122', '33124', '33125', '33126', '33127', '33128', '33129', '33130', '33131', '33132', '33133', '33134', '33135', '33136', '33137', '33138', '33139', '33140', '33141', '33142', '33143', '33144', '33145', '33146', '33147', '33148', '33149', '33150', '33151', '33152', '33153', '33154', '33155', '33156', '33157', '33158', '33159', '33160', '33161', '33162', '33163', '33164', '33165', '33166', '33167', '33168', '33169', '33170', '33172', '33173', '33174', '33175', '33176', '33177', '33178', '33179', '33180', '33181', '33182', '33183', '33184', '33185', '33186', '33187', '33188', '33189', '33190', '33192', '33193', '33194', '33195', '33196', '33197', '33199', '33201', '33231', '33233', '33234', '33238', '33239', '33242', '33243', '33245', '33247', '33255', '33256', '33257', '33261', '33265', '33266', '33269', '33280', '33283', '33296', '33299', '33301', '33302', '33303', '33304', '33305', '33306', '33307', '33308', '33309', '33310', '33311', '33312', '33313', '33314', '33315', '33316', '33317', '33318', '33319', '33320', '33321', '33322', '33323', '33324', '33325', '33326', '33327', '33328', '33329', '33330', '33331', '33332', '33334', '33335', '33337', '33338', '33339', '33340', '33345', '33346', '33348', '33349', '33351', '33352', '33355', '33359', '33388', '33394', '33402', '33419', '33420', '33421', '33422', '33424', '33425', '33426', '33427', '33428', '33429', '33431', '33432', '33433', '33434', '33435', '33436', '33437', '33439', '33441', '33442', '33443', '33444', '33445', '33446', '33447', '33448', '33452', '33454', '33459', '33460', '33461', '33462', '33463', '33464', '33465', '33466', '33467', '33468', '33474', '33481', '33482', '33483', '33484', '33486', '33487', '33488', '33496', '33497', '33498', '33499', '33515', '34138', '34141', '34168']",278,5371656.0
18,Gates of The Arctic,Alaska,67.78°N 153.30°W,67.78,-153.3,2-Dec-80,"7,523,897.45 acres (30,448.1 km2)","7,523,897.45","30,448.10",9591,"The country's northernmost park protects an expanse of pure wilderness in Alaska's Brooks Range and has no park facilities. The land is home to Alaska Natives who have relied on the land and caribou for 11,000 years.[44]",National Park & Preserve,AK,Gates Of The Arctic National Park & Preserve,gaar,99701,"['99701', '99702', '99703', '99705', '99706', '99707', '99708', '99709', '99710', '99711', '99712', '99714', '99716', '99725', '99775']",15,99802.0
19,Gateway Arch,Missouri,38.63°N 90.19°W,38.63,-90.19,"February 22, 2018[45]",192.83 acres (0.8 km2),192.83,0.8,2016180,"The Gateway Arch is a 630-foot (192 m) (both high and wide) catenary arch built to commemorate the Lewis and Clark Expedition, initiated by Thomas Jefferson, and the subsequent westward expansion of the country. The nearby Old Courthouse, across a greenway to the west of the arch, was the first site of the Dred Scott case about slavery. A museum, located in the underground visitor center below the arch, describes the arch's construction and the country's westward expansion.[46]",Gateway Arch National Park,MO,National Park,jeff,63102,"['62001', '62002', '62003', '62006', '62009', '62010', '62012', '62013', '62014', '62015', '62016', '62017', '62018', '62019', '62021', '62022', '62023', '62024', '62025', '62026', '62027', '62028', '62030', '62031', '62033', '62034', '62035', '62036', '62037', '62040', '62043', '62044', '62045', '62046', '62047', '62048', '62049', '62050', '62051', '62052', '62053', '62054', '62056', '62058', '62059', '62060', '62061', '62062', '62063', '62065', '62067', '62069', '62070', '62071', '62074', '62076', '62077', '62078', '62079', '62081', '62082', '62084', '62085', '62086', '62087', '62088', '62089', '62090', '62091', '62092', '62093', '62094', '62095', '62097', '62098', '62201', '62202', '62203', '62204', '62205', '62206', '62207', '62208', '62214', '62215', '62216', '62217', '62218', '62219', '62220', '62221', '62222', '62223', '62224', '62225', '62226', '62230', '62231', '62232', '62233', '62234', '62236', '62237', '62238', '62239', '62240', '62241', '62242', '62243', '62244', '62245', '62246', '62248', '62249', '62254', '62255', '62256', '62257', '62258', '62259', '62260', '62261', '62263', '62264', '62265', '62266', '62268', '62269', '62270', '62271', '62272', '62273', '62274', '62275', '62277', '62278', '62279', '62280', '62281', '62282', '62284', '62285', '62286', '62288', '62289', '62292', '62293', '62294', '62295', '62297', '62298', '62312', '62314', '62323', '62340', '62352', '62355', '62357', '62361', '62362', '62363', '62366', '62370', '62511', '62517', '62520', '62530', '62531', '62533', '62536', '62538', '62540', '62545', '62546', '62556', '62558', '62560', '62563', '62570', '62572', '62601', '62610', '62615', '62616', '62621', '62626', '62628', '62629', '62630', '62631', '62638', '62640', '62649', '62650', '62651', '62652', '62660', '62661', '62662', '62663', '62665', '62667', '62668', '62670', '62672', '62674', '62676', '62677', '62683', '62685', '62686', '62689', '62690', '62692', '62694', '62695', '62701', '62702', '62703', '62704', '62705', '62706', '62707', '62708', '62709', '62713', '62715', '62716', '62718', '62719', '62720', '62721', '62722', '62723', '62726', '62736', '62739', '62746', '62756', '62757', '62761', '62762', '62763', '62764', '62765', '62766', '62767', '62769', '62776', '62777', '62781', '62786', '62791', '62794', '62796', '62902', '62903', '62905', '62907', '62916', '62940', '62942', '62950', '62966', '62971', '62975', '62994', '62997', '62998', '63001', '63005', '63006', '63010', '63011', '63012', '63015', '63016', '63017', '63019', '63020', '63021', '63022', '63023', '63024', '63025', '63026', '63028', '63030', '63031', '63032', '63033', '63034', '63036', '63038', '63039', '63040', '63041', '63042', '63043', '63044', '63045', '63047', '63048', '63049', '63050', '63051', '63052', '63053', '63055', '63057', '63060', '63061', '63065', '63066', '63069', '63070', '63071', '63072', '63073', '63074', '63077', '63084', '63087', '63088', '63089', '63090', '63099', '63101', '63102', '63103', '63104', '63105', '63106', '63107', '63108', '63109', '63110', '63111', '63112', '63113', '63114', '63115', '63116', '63117', '63118', '63119', '63120', '63121', '63122', '63123', '63124', '63125', '63126', '63127', '63128', '63129', '63130', '63131', '63132', '63133', '63134', '63135', '63136', '63137', '63138', '63139', '63140', '63141', '63143', '63144', '63145', '63146', '63147', '63150', '63151', '63153', '63155', '63156', '63157', '63158', '63160', '63163', '63164', '63166', '63167', '63169', '63171', '63177', '63178', '63179', '63180', '63182', '63188', '63195', '63196', '63197', '63198', '63199', '63301', '63302', '63303', '63304', '63330', '63332', '63336', '63338', '63341', '63342', '63343', '63344', '63346', '63347', '63348', '63362', '63365', '63366', '63367', '63369', '63371', '63373', '63375', '63376', '63379', '63385', '63386', '63387', '63389', '63390', '63601', '63621', '63622', '63623', '63624', '63625', '63626', '63627', '63628', '63630', '63631', '63633', '63637', '63640', '63645', '63646', '63648', '63650', '63651', '63653', '63654', '63655', '63656', '63660', '63661', '63662', '63663', '63664', '63670', '63673', '63674', '63732', '63737', '63743', '63746', '63747', '63748', '63755', '63766', '63769', '63770', '63775', '63776', '63779', '63781', '63783']",474,3216619.0
20,Glacier,Montana,48.80°N 114.00°W,48.8,-114.0,11-May-10,"1,013,125.99 acres (4,100.0 km2)","1,013,125.99","4,100.00",2965309,"The U.S. half of Waterton-Glacier International Peace Park, this park includes 26 glaciers and 130 named lakes surrounded by Rocky Mountain peaks. There are historic hotels and a landmark road called the Going-to-the-Sun Road in this region of rapidly receding glaciers.[47] The local mountains, formed by an overthrust, expose Paleozoic fossils including trilobites, mollusks, giant ferns and dinosaurs.[48] (WHS)[49] (BR)[50]",Glacier National Park,MT,National Park,glac,59936,"['59411', '59417', '59434', '59473', '59824', '59826', '59831', '59845', '59848', '59855', '59860', '59863', '59864', '59865', '59901', '59902', '59903', '59904', '59910', '59911', '59912', '59913', '59914', '59915', '59916', '59919', '59920', '59921', '59922', '59926', '59927', '59928', '59929', '59931', '59932', '59933', '59936', '59937']",38,135796.0
21,Glacier Bay,Alaska,58.50°N 137.00°W,58.5,-137.0,2-Dec-80,"3,223,383.43 acres (13,044.6 km2)","3,223,383.43","13,044.60",597915,"Glacier Bay contains tidewater glaciers, mountains, fjords, and a temperate rainforest, and is home to large populations of grizzly bears, mountain goats, whales, seals, and eagles. When discovered in 1794 by George Vancouver, the entire bay was covered by ice, but the glaciers have since receded more than 65 miles (105 km).[51] (WHS)[52] (BR)[53]",Glacier Bay National Park & Preserve,AK,National Park & Preserve,glba,99826,"['99825', '99826', '99827', '99829', '99832', '99840', '99841', '99850']",8,5184.0
22,Grand Canyon,Arizona,36.06°N 112.14°W,36.06,-112.14,26-Feb-19,"1,201,647.03 acres (4,862.9 km2)","1,201,647.03","4,862.90",6380495,"The Grand Canyon, carved by the mighty Colorado River, is 277 miles (446 km) long, up to 1 mile (1.6 km) deep, and up to 15 miles (24 km) wide. Millions of years of erosion have exposed the multicolored layers of the Colorado Plateau in mesas and canyon walls, visible from both the north and south rims, or from a number of trails that descend into the canyon itself.[54] (WHS)[55]",Grand Canyon National Park,AZ,National Park,grca,86023,"['86001', '86002', '86003', '86004', '86011', '86015', '86016', '86017', '86018', '86020', '86022', '86023', '86036', '86038', '86040', '86046', '86052', '86305', '86312', '86313', '86320', '86323', '86324', '86325', '86326', '86330', '86331', '86334', '86335', '86336', '86339', '86340', '86341', '86342', '86344', '86351', '86366', '86435', '86551', '86631']",40,216946.0
23,Grand Teton,Wyoming,43.73°N 110.80°W,43.73,-110.8,26-Feb-29,"310,044.36 acres (1,254.7 km2)","310,044.36","1,254.70",3491151,"Grand Teton is the tallest mountain in the Teton Range. The park's historic Jackson Hole and reflective piedmont lakes teem with endemic wildlife, with a backdrop of craggy mountains that rise abruptly from the sage-covered valley.[56] (BR)[4]",Grand Teton National Park,WY,National Park,grte,83012,"['59758', '59798', '82190', '82922', '83001', '83002', '83011', '83012', '83013', '83014', '83025', '83110', '83111', '83112', '83113', '83115', '83118', '83119', '83120', '83122', '83126', '83127', '83128', '83230', '83239', '83276', '83285', '83403', '83420', '83421', '83422', '83424', '83428', '83429', '83433', '83436', '83438', '83441', '83443', '83447', '83449', '83451', '83452', '83455', '83460']",45,64562.0
24,Great Basin,Nevada,38.98°N 114.30°W,38.98,-114.3,27-Oct-86,"77,180.00 acres (312.3 km2)","77,180.00",312.3,153094,"Based around Nevada's second tallest mountain, Wheeler Peak, Great Basin National Park contains 5,000-year-old bristlecone pines, a rock glacier, and the limestone Lehman Caves. Due to its remote location, the park has some of the country's darkest night skies. Wildlife includes the Townsend's big-eared bat, pronghorn, and Bonneville cutthroat trout.[57]",Great Basin National Park,NV,National Park,grba,89311,"['84034', '84714', '84728', '84753', '89042', '89043', '89301', '89311', '89315', '89318', '89319']",11,12287.0
25,Great Sand Dunes,Colorado,37.73°N 105.51°W,37.73,-105.51,13-Sep-04,"107,341.87 acres (434.4 km2)","107,341.87",434.4,442905,"The tallest sand dunes in North America, up to 750 feet (230 m) tall, were formed by deposits of the ancient Rio Grande in the San Luis Valley. Abutting a variety of grasslands, shrublands, and wetlands, the park also has alpine lakes, six 13,000-foot mountains, and old-growth forests.[58]",Great Sand Dunes National Park & Preserve,CO,National Park & Preserve,grsa,81146,"['80813', '80820', '80860', '80926', '81023', '81040', '81055', '81066', '81069', '81091', '81101', '81102', '81120', '81123', '81124', '81125', '81126', '81129', '81131', '81132', '81133', '81134', '81135', '81136', '81138', '81140', '81141', '81143', '81144', '81146', '81148', '81149', '81151', '81152', '81153', '81155', '81201', '81212', '81215', '81221', '81222', '81223', '81226', '81227', '81232', '81233', '81236', '81239', '81240', '81241', '81242', '81244', '81246', '81248', '81252', '81253', '81290', '87512', '87513', '87514', '87515', '87518', '87519', '87520', '87524', '87525', '87529', '87539', '87554', '87556', '87558', '87564', '87571', '87575', '87576', '87577', '87580', '87581', '87714', '87718']",80,145118.0
