City,Rank,State,Pop,Coordinates
Lacey,824,Washington,44919,47.0342629
Apex,871,North Carolina,42214,35.732652
Sioux City,393,Iowa,82459,42.4999942
Encinitas,570,California,61588,33.0369867
Spanish Fork,998,Utah,36956,40.114955
Huntington Park,612,California,58879,33.9816812
Eden Prairie,557,Minnesota,62603,44.8546856
Peoria,149,Arizona,162592,33.5805955
Tempe,143,Arizona,168228,33.4255104
Wilmington,470,Delaware,71525,39.7390721
Taylorsville,584,Utah,60519,40.6677248
Westland,391,Michigan,82578,42.324204
Mesquite,178,Texas,143484,32.7667955
Burlington,717,North Carolina,51510,36.0956918
Garland,88,Texas,234566,32.912624
Richmond,262,California,107571,37.9357576
Bismarck,510,North Dakota,67034,46.8083268
Carson City,678,Nevada,54080,39.1637984
Muskogee,952,Oklahoma,38863,35.7478769
Augusta-Richmond County,119,Georgia,197350,33.4734978
Fayetteville,106,North Carolina,204408,35.0526641
Albany,436,Georgia,76185,31.5785074
Sayreville,829,New Jersey,44412,40.4594021
Newark,835,California,44096,37.5296593
Diamond Bar,646,California,56449,34.0286226
Decatur,653,Alabama,55816,34.6059253
Chattanooga,136,Tennessee,173366,35.0456297
Jeffersonville,809,Indiana,45929,38.2775702
Bartlett,881,Illinois,41679,41.9950276
Baldwin Park,433,California,76635,34.0852868
Miami Beach,336,Florida,91026,25.790654
Jackson,505,Tennessee,67685,35.6145169
Port Arthur,677,Texas,54135,29.8849504
San Luis Obispo,802,California,46377,35.2827524
Burleson,903,Texas,40714,32.5420821
St. Joseph,429,Missouri,77147,39.7674578
Redondo Beach,504,California,67815,33.8491816
Houston,4,Texas,2195914,29.7604267
Temecula,266,California,106780,33.4936391
Ann Arbor,229,Michigan,117025,42.2808256
Beaumont,226,Texas,117796,30.080174
East Lansing,772,Michigan,48554,42.7369792
Santee,648,California,56105,32.8383828
Tamarac,553,Florida,63155,26.2128609
Bellevue,685,Nebraska,53663,41.1543623
Pembroke Pines,150,Florida,162329,26.007765
Springdale,443,Arkansas,75229,36.1867442
Oxnard,108,California,203007,34.1975048
Odessa,247,Texas,110720,31.8456816
Stillwater,792,Oklahoma,47186,36.1156071
Brockton,317,Massachusetts,94089,42.0834335
Bayonne,538,New Jersey,65028,40.6687141
Paramount,664,California,54980,33.8894598
Moline,852,Illinois,43116,41.5067003
Meridian,896,Mississippi,40921,32.3643098
Cleveland,863,Tennessee,42774,35.1595182
Jersey City,74,New Jersey,257342,40.7281575
St. Paul,66,Minnesota,294873,44.9537029
Deltona,363,Florida,86290,28.9005446
Freeport,851,New York,43167,40.6576022
Iowa City,468,Iowa,71591,41.6611277
Anaheim,56,California,345012,33.8352932
Apple Valley,739,Minnesota,50201,44.7319094
Great Falls,604,Montana,59351,47.4941836
West Valley City,191,Utah,133579,40.6916132
Hampton,187,Virginia,136699,37.0298687
Georgetown,666,Texas,54898,30.6332618
Orem,332,Utah,91648,40.2968979
Monrovia,995,California,37101,34.1442616
Keller,860,Texas,42907,32.9341893
South San Francisco,522,California,66174,37.654656
Plymouth,453,Minnesota,73987,45.0105194
South Bend,288,Indiana,100886,41.6763545
Edmond,359,Oklahoma,87004,35.6528323
Des Moines,104,Iowa,207510,41.6005448
Bonita Springs,787,Florida,47547,26.339806
Draper,821,Utah,45285,40.5246711
Whittier,360,California,86635,33.9791793
Livonia,314,Michigan,95208,42.36837
Milwaukee,31,Wisconsin,599164,43.0389025
Auburn,447,Washington,74860,47.3073228
Sumter,888,South Carolina,41190,33.9204354
Beverly,904,Massachusetts,40664,42.5584283
Renton,305,Washington,97003,47.4828776
Centennial,268,Colorado,106114,39.5807452
Richmond,99,Virginia,214114,37.5407246
Anderson,655,Indiana,55670,40.1053196
Beaumont,910,California,40481,33.9294606
Pflugerville,683,Texas,53752,30.4393696
Hoboken,697,New Jersey,52575,40.7439905
Lexington-Fayette,61,Kentucky,308428,38.0405837
Norwalk,267,California,106589,33.9022367
Yuma,330,Arizona,91923,32.6926512
Highland,675,California,54291,34.1283442
Carol Stream,914,Illinois,40379,41.9125286
Joliet,169,Illinois,147806,41.525031
Rock Hill,492,South Carolina,69103,34.9248667
Rancho Cordova,503,California,67911,38.5890723
Dearborn Heights,642,Michigan,56620,42.3369816
Honolulu,54,Hawaii,347884,21.3069444
Victoria,536,Texas,65098,28.8052674
Attleboro,839,Massachusetts,43886,41.9445441
Wylie,828,Texas,44575,33.0151201
Carrollton,207,Texas,126700,32.9756415
Plainfield,879,Illinois,41734,41.632223
Hoffman Estates,702,Illinois,52398,42.0629915
Methuen,773,Massachusetts,48514,42.7262016
North Port,606,Florida,59212,27.044224
Rockville,544,Maryland,64072,39.0839973
Burbank,274,California,104709,34.1808392
Fullerton,184,California,138981,33.8703596
Oshkosh,515,Wisconsin,66778,44.0247062
Huntsville,928,Texas,39795,30.7235263
Farmington Hills,397,Michigan,81295,42.4989936
Pico Rivera,547,California,63771,33.9830688
Cerritos,750,California,49707,33.8583483
La Puente,911,California,40435,34.0200114
Grand Junction,596,Colorado,59778,39.0638705
Enid,727,Oklahoma,50725,36.3955891
San Jose,10,California,998537,37.3382082
Round Rock,251,Texas,109821,30.5082551
Maple Grove,531,Minnesota,65415,45.0724642
Norman,225,Oklahoma,118197,35.2225668
Homestead,542,Florida,64079,25.4687224
Friendswood,980,Texas,37587,29.5293998
Irvine,85,California,236716,33.6839473
Pocatello,674,Idaho,54350,42.8713032
Pacifica,960,California,38606,37.6138253
Sheboygan,766,Wisconsin,48725,43.7508284
Bossier City,518,Louisiana,66333,32.5159852
Cedar Park,575,Texas,61238,30.505198
Sandy Springs,295,Georgia,99770,33.9304352
Champaign,385,Illinois,83424,40.1164204
Clifton,368,New Jersey,85390,40.8584328
Moore,618,Oklahoma,58414,35.3395079
Blue Springs,689,Missouri,53294,39.0169509
Lancaster,153,California,159523,34.6867846
Bryan,416,Texas,78709,30.6743643
Hurst,962,Texas,38448,32.8234621
Cape Coral,146,Florida,165831,26.5628537
Cupertino,589,California,60189,37.3229978
Pittsfield,836,Massachusetts,44057,42.4500845
Gilroy,712,California,51701,37.0057816
Manchester,248,New Hampshire,110378,42.9956397
Virginia Beach,39,Virginia,448479,36.8529263
Salina,779,Kansas,47846,38.8402805
Somerville,414,Massachusetts,78804,42.3875968
Largo,418,Florida,78409,27.9094665
Fresno,34,California,509924,36.7468422
Phenix City,983,Alabama,37498,32.4709761
Berwyn,638,Illinois,56758,41.8505874
Palm Beach Gardens,728,Florida,50699,26.8233946
Pawtucket,473,Rhode Island,71172,41.878711
San Gabriel,919,California,40275,34.0961111
Winston-Salem,86,North Carolina,236441,36.0998596
Alpharetta,560,Georgia,62298,34.0753762
O'Fallon,388,Missouri,82809,38.8106075
Redwood City,403,California,80872,37.4852152
Union City,465,California,72528,37.5933918
Hallandale Beach,957,Florida,38632,25.9812024
Mankato,905,Minnesota,40641,44.1635775
New York,1,New York,8405837,40.7127837
Simi Valley,210,California,126181,34.2694474
West Covina,261,California,107740,34.0686208
Castle Rock,692,Colorado,53063,39.3722121
Valdosta,645,Georgia,56481,30.8327022
Fort Worth,17,Texas,792727,32.7554883
Carson,325,California,92599,33.8316745
Evansville,219,Indiana,120310,37.9715592
Santa Maria,281,California,102216,34.9530337
Brentwood,924,Tennessee,40021,36.0331164
La Mesa,613,California,58642,32.7678287
Westminster,245,Colorado,110945,39.8366528
Reading,353,Pennsylvania,87893,40.3356483
Turlock,482,California,70365,37.4946568
Greeley,308,Colorado,96539,40.4233142
Tyler,291,Texas,100223,32.3512601
Winter Garden,975,Florida,37711,28.5652787
Waco,197,Texas,129030,31.549333
Martinez,992,California,37165,38.0193657
Thousand Oaks,198,California,128731,34.1705609
Azusa,780,California,47842,34.1336186
Bridgeport,172,Connecticut,147216,41.1865478
St. Louis Park,789,Minnesota,47411,44.9597376
Chesterfield,782,Missouri,47749,38.6631083
Greenacres,955,Florida,38696,26.6276276
Pasco,506,Washington,67599,46.2395793
Torrance,171,California,147478,33.8358492
Madison,83,Wisconsin,243344,43.0730517
Janesville,545,Wisconsin,63820,42.6827885
Waukegan,348,Illinois,88826,42.3636331
Bowling Green,571,Kentucky,61488,36.9685219
Arlington,50,Texas,379577,32.735687
Lewisville,287,Texas,101074,33.046233
Farmington,818,New Mexico,45426,36.7280583
Oakley,966,California,38194,37.9974219
Palo Alto,517,California,66642,37.4418834
Springfield,590,Oregon,60177,44.0462362
New Bedford,315,Massachusetts,95078,41.6362152
Redmond,627,Washington,57530,47.6739881
Brentwood,663,California,55000,37.931868
Davis,521,California,66205,38.5449065
La Mirada,761,California,49133,33.9172357
Smyrna,855,Tennessee,43060,35.9828412
Altoona,812,Pennsylvania,45796,40.5186809
Dothan,502,Alabama,68001,31.2232313
East Orange,540,New Jersey,64544,40.767323
Tinley Park,630,Illinois,57282,41.5731442
Biloxi,825,Mississippi,44820,30.3960318
Urbana,878,Illinois,41752,40.1105875
Garden Grove,135,California,175140,33.7739053
Lynwood,471,California,71371,33.930293
Northglenn,982,Colorado,37499,39.8961821
Canton,463,Ohio,72535,40.7989473
Brookhaven,729,Georgia,50603,33.8651033
Baton Rouge,93,Louisiana,229426,30.4582829
Bristol,583,Connecticut,60568,41.6717648
Independence,227,Missouri,117240,39.0911161
Lansing,236,Michigan,113972,42.732535
Orland Park,614,Illinois,58590,41.6303103
Vineland,578,New Jersey,61050,39.4863773
Green Bay,272,Wisconsin,104779,44.519159
Evanston,439,Illinois,75570,42.0450722
Ocoee,947,Florida,39172,28.5691677
Los Angeles,2,California,3884307,34.0522342
Federal Way,324,Washington,92734,47.3223221
West Jordan,250,Utah,110077,40.6096698
Yucaipa,698,California,52536,34.033625
Pittsburgh,62,Pennsylvania,305841,40.4406248
Downey,238,California,113242,33.9401088
Cicero,377,Illinois,84103,41.8455877
South Gate,312,California,95677,33.954737
Panama City,1000,Florida,36877,30.1588129
Joplin,726,Missouri,50789,37.0842271
League City,337,Texas,90983,29.5074538
Salt Lake City,124,Utah,191180,40.7607793
Fort Pierce,854,Florida,43074,27.4467056
Phoenix,6,Arizona,1513367,33.4483771
Corvallis,659,Oregon,55298,44.5645659
Cedar Hill,798,Texas,46663,32.5884689
Chicopee,654,Massachusetts,55717,42.1487043
Ocala,629,Florida,57468,29.1871986
Roswell,318,Georgia,94034,34.0232431
Park Ridge,972,Illinois,37839,42.0111412
Concord,869,New Hampshire,42419,43.2081366
Olympia,776,Washington,48338,47.0378741
Huntington Beach,117,California,197575,33.660297
Corpus Christi,60,Texas,316381,27.8005828
Haverhill,564,Massachusetts,62088,42.7762015
Hanover Park,961,Illinois,38510,41.9994722
Cambridge,264,Massachusetts,107289,42.3736158
Glendale,87,Arizona,234632,33.5386523
Stanton,958,California,38623,33.8025155
Summerville,807,South Carolina,46074,33.0185039
Davenport,283,Iowa,102157,41.5236437
Boca Raton,345,Florida,89407,26.3683064
New Britain,461,Connecticut,72939,41.6612104
Roseville,786,Michigan,47555,42.4972583
Cleveland Heights,820,Ohio,45394,41.5200518
Gresham,254,Oregon,109397,45.5001357
Lauderhill,488,Florida,69813,26.1403635
Hendersonville,680,Tennessee,54068,36.3047735
Santa Clara,220,California,120245,37.3541079
Oceanside,137,California,172794,33.1958696
Lake Forest,408,California,79312,33.6469661
Novi,624,Michigan,57960,42.48059
West New York,705,New Jersey,52122,40.7878788
Everett,858,Massachusetts,42935,42.40843
Linden,886,New Jersey,41301,40.6220478
Asheville,357,North Carolina,87236,35.5950581
Compton,301,California,97877,33.8958492
Aliso Viejo,741,California,50175,33.5676842
Menifee,384,California,83447,33.6971468
Loveland,472,Colorado,71334,40.3977612
Carpentersville,965,Illinois,38241,42.1211364
Providence,134,Rhode Island,177994,41.8239891
Hialeah,89,Florida,233394,25.8575963
San Ramon,449,California,74513,37.7799273
Ontario,144,California,167500,34.0633443
Kirkland,373,Washington,84430,47.6814875
St. George,431,Utah,76817,37.0965278
Hilton Head Island,938,South Carolina,39412,32.216316
Glendale,121,California,196021,34.1425078
Meriden,586,Connecticut,60456,41.5381535
Gardena,593,California,59957,33.8883487
Westfield,887,Massachusetts,41301,42.1250929
Elgin,249,Illinois,110145,42.0354084
Plano,70,Texas,274409,33.0198431
Longmont,344,Colorado,89919,40.1672068
Coppell,918,Texas,40342,32.9545687
Lakewood,722,Ohio,51143,41.4819932
Jonesboro,469,Arkansas,71551,35.8422967
College Station,293,Texas,100050,30.627977
Dearborn,311,Michigan,95884,42.3222599
Utica,567,New York,61808,43.100903
Monroe,749,Louisiana,49761,32.5093109
Baltimore,26,Maryland,622104,39.2903848
Springfield,148,Missouri,164122,37.2089572
Pine Bluff,805,Arkansas,46094,34.2284312
Plainfield,730,New Jersey,50588,40.6337136
Lynn,333,Massachusetts,91589,42.466763
Woodbury,528,Minnesota,65656,44.9238552
Gainesville,204,Florida,127488,29.6516344
West Sacramento,746,California,49891,38.5804609
Sammamish,742,Washington,50169,47.6162683
Aventura,991,Florida,37199,25.9564812
Fayetteville,411,Arkansas,78960,36.0625795
San Rafael,609,California,58994,37.9735346
Conway,546,Arkansas,63816,35.0886963
Tacoma,107,Washington,203446,47.2528768
Middletown,791,Connecticut,47333,41.5623209
Burlington,870,Vermont,42284,44.4758825
Twin Falls,808,Idaho,45981,42.5629668
Sherman,946,Texas,39296,33.6356618
Lynchburg,423,Virginia,78014,37.4137536
Bowie,637,Maryland,56759,39.0067768
Danbury,380,Connecticut,83684,41.394817
Charlottesville,831,Virginia,44349,38.0293059
Coral Gables,752,Florida,49631,25.72149
Coeur d'Alene,801,Idaho,46402,47.6776832
El Monte,234,California,115708,34.0686206
Crystal Lake,912,Illinois,40388,42.2411344
Danville,846,California,43341,37.8215929
Goodyear,462,Arizona,72864,33.4353394
Paterson,175,New Jersey,145948,40.9167654
Salem,152,Oregon,160614,44.9428975
Kissimmee,534,Florida,65173,28.2919557
Saginaw,736,Michigan,50303,43.4194699
Brownsville,131,Texas,181860,25.9017472
Flower Mound,496,Texas,68609,33.0145673
Grapevine,740,Texas,50195,32.9342919
Edina,756,Minnesota,49376,44.8896866
Detroit,18,Michigan,688701,42.331427
Fairfield,865,Ohio,42635,39.3454673
Mansfield,581,Texas,60872,32.5631924
Rochester,103,New York,210358,43.16103
Birmingham,101,Alabama,212113,33.5206608
Austin,11,Texas,885400,30.267153
Santa Barbara,339,California,90412,34.4208305
Addison,986,Illinois,37385,41.931696
Rio Rancho,329,New Mexico,91956,35.2327544
Normal,671,Illinois,54664,40.5142026
Romeoville,931,Illinois,39650,41.6475306
