,Name,Location,coordinates,lat,lon,Date established as park[5][10],Area (2019)[11],"area, acres","area, km^2",Recreation visitors (2018)[8],Description
10,Carlsbad Caverns,New Mexico,32.17°N 104.44°W,32.17,104.44,14-May-30,"46,766.45 acres (189.3 km2)","46,766.45",189.3,"465,912","Carlsbad Caverns has 117 caves, the longest of which is over 120 miles (190 km) long. The Big Room is almost 4,000 feet (1,200 m) long, and the caves are home to over 400,000 Mexican free-tailed bats and sixteen other species. Above ground are the Chihuahuan Desert and Rattlesnake Springs.[26] (WHS)[27]"
11,Channel Islands,California,34.01°N 119.42°W,34.01,119.42,5-Mar-80,"249,561.00 acres (1,009.9 km2)","249,561.00","1,009.9","366,250","Five of the eight Channel Islands are protected, and half of the park's area is underwater. The islands have a unique Mediterranean ecosystem originally settled by the Chumash people. They are home to over 2,000 species of land plants and animals, and 145 are unique to them, including the island fox. Ferry services offer transportation to the islands from the mainland.[28] (BR)[29]"
12,Congaree,South Carolina,33.78°N 80.78°W,33.78,80.78,10-Nov-03,"26,476.47 acres (107.1 km2)","26,476.47",107.1,"145,929","On the Congaree River, this park is the largest portion of old-growth floodplain forest left in North America. Some of the trees are the tallest in the eastern United States. An elevated walkway called the Boardwalk Loop guides visitors through the swamp.[30] (BR)[31]"
13,Crater Lake,Oregon,42.94°N 122.1°W,42.94,122.1,22-May-02,"183,224.05 acres (741.5 km2)","183,224.05",741.5,"720,659","Crater Lake lies in the caldera of an ancient volcano called Mount Mazama that collapsed 7,700 years ago. The lake is the deepest in the United States and is noted for its vivid blue color and water clarity. Wizard Island and the Phantom Ship are more recent volcanic formations within the caldera. As the lake has no inlets or outlets, the lake is replenished only by precipitation.[32]"
14,Cuyahoga Valley,Ohio,41.24°N 81.55°W,41.24,81.55,11-Oct-00,"32,571.88 acres (131.8 km2)","32,571.88",131.8,"2,096,053","This park along the Cuyahoga River has waterfalls, hills, trails, and exhibits on early rural living. The Ohio and Erie Canal Towpath Trail follows the Ohio and Erie Canal, where mules towed canal boats. The park has numerous historic homes, bridges, and structures,[33] and also offers a scenic train ride.[34]"
15,Death Valley,"California, Nevada",36.24°N 116.82°W,36.24,116.82,31-Oct-94,"3,408,406.73 acres (13,793.3 km2)","3,408,406.73","13,793.3","1,678,660","Death Valley is the hottest, lowest, and driest place in the United States, with daytime temperatures that have exceeded 130 °F (54 °C). The park protects Badwater Basin and its vast salt flats located at the lowest elevation in North America, −282 ft (−86 m).[35] The park also protects canyons, badlands, sand dunes, mountain ranges, historic mines, springs, and more than 1000 species of plants which grow in this geologic graben.[36] (BR)[37]"
16,Denali,Alaska,63.33°N 150.50°W,63.33,150.50,26-Feb-17,"4,740,911.16 acres (19,185.8 km2)","4,740,911.16","19,185.8","594,660","Centered on Denali, the tallest and highest prominence mountain in North America, Denali is serviced by a single road leading to Wonder Lake. Denali and other peaks of the Alaska Range are covered with long glaciers and boreal forest. Wildlife includes grizzly bears, Dall sheep, Porcupine caribou, and wolves.[38] (BR)[39]"
17,Dry Tortugas,Florida,24.63°N 82.87°W,24.63,82.87,26-Oct-92,"64,701.22 acres (261.8 km2)","64,701.22",261.8,"56,810","The islands of the Dry Tortugas, at the westernmost end of the Florida Keys, are the site of Fort Jefferson, a Civil War-era fort that is the largest masonry structure in the Western Hemisphere. The park is home to undisturbed coral reefs and shipwrecks, and is only accessible by plane or boat.[40] (BR)[41]"
18,Everglades,Florida,25.32°N 80.93°W,25.32,80.93,30-May-34,"1,508,938.57 acres (6,106.5 km2)","1,508,938.57","6,106.5","597,124","The Everglades are the largest tropical wilderness in the United States. This mangrove and tropical rainforest ecosystem and marine estuary is home to 36 protected species, including the Florida panther, American crocodile, and West Indian manatee. Some areas have been drained and developed; restoration projects aim to restore the ecology.[42] (WHS)[43] (BR)[41]"
19,Gates of the Arctic,Alaska,67.78°N 153.30°W,67.78,153.30,2-Dec-80,"7,523,897.45 acres (30,448.1 km2)","7,523,897.45","30,448.1","9,591","The country's northernmost park protects an expanse of pure wilderness in Alaska's Brooks Range and has no park facilities. The land is home to Alaska Natives who have relied on the land and caribou for 11,000 years.[44]"
20,Gateway Arch,Missouri,38.63°N 90.19°W,38.63,90.19,"February 22, 2018[45]",192.83 acres (0.8 km2),192.83,0.8,"2,016,180","The Gateway Arch is a 630-foot (192 m) (both high and wide) catenary arch built to commemorate the Lewis and Clark Expedition, initiated by Thomas Jefferson, and the subsequent westward expansion of the country. The nearby Old Courthouse, across a greenway to the west of the arch, was the first site of the Dred Scott case about slavery. A museum, located in the underground visitor center below the arch, describes the arch's construction and the country's westward expansion.[46]"
21,Glacier,Montana,48.80°N 114.00°W,48.80,114.00,11-May-10,"1,013,125.99 acres (4,100.0 km2)","1,013,125.99","4,100.0","2,965,309","The U.S. half of Waterton-Glacier International Peace Park, this park includes 26 glaciers and 130 named lakes surrounded by Rocky Mountain peaks. There are historic hotels and a landmark road called the Going-to-the-Sun Road in this region of rapidly receding glaciers.[47] The local mountains, formed by an overthrust, expose Paleozoic fossils including trilobites, mollusks, giant ferns and dinosaurs.[48] (WHS)[49] (BR)[50]"
22,Glacier Bay,Alaska,58.50°N 137.00°W,58.50,137.00,2-Dec-80,"3,223,383.43 acres (13,044.6 km2)","3,223,383.43","13,044.6","597,915","Glacier Bay contains tidewater glaciers, mountains, fjords, and a temperate rainforest, and is home to large populations of grizzly bears, mountain goats, whales, seals, and eagles. When discovered in 1794 by George Vancouver, the entire bay was covered by ice, but the glaciers have since receded more than 65 miles (105 km).[51] (WHS)[52] (BR)[53]"
23,Grand Canyon,Arizona,36.06°N 112.14°W,36.06,112.14,26-Feb-19,"1,201,647.03 acres (4,862.9 km2)","1,201,647.03","4,862.9","6,380,495","The Grand Canyon, carved by the mighty Colorado River, is 277 miles (446 km) long, up to 1 mile (1.6 km) deep, and up to 15 miles (24 km) wide. Millions of years of erosion have exposed the multicolored layers of the Colorado Plateau in mesas and canyon walls, visible from both the north and south rims, or from a number of trails that descend into the canyon itself.[54] (WHS)[55]"
24,Grand Teton,Wyoming,43.73°N 110.80°W,43.73,110.80,26-Feb-29,"310,044.36 acres (1,254.7 km2)","310,044.36","1,254.7","3,491,151","Grand Teton is the tallest mountain in the Teton Range. The park's historic Jackson Hole and reflective piedmont lakes teem with endemic wildlife, with a backdrop of craggy mountains that rise abruptly from the sage-covered valley.[56] (BR)[4]"
25,Great Basin,Nevada,38.98°N 114.30°W,38.98,114.30,27-Oct-86,"77,180.00 acres (312.3 km2)","77,180.00",312.3,"153,094","Based around Nevada's second tallest mountain, Wheeler Peak, Great Basin National Park contains 5,000-year-old bristlecone pines, a rock glacier, and the limestone Lehman Caves. Due to its remote location, the park has some of the country's darkest night skies. Wildlife includes the Townsend's big-eared bat, pronghorn, and Bonneville cutthroat trout.[57]"
26,Great Sand Dunes,Colorado,37.73°N 105.51°W,37.73,105.51,13-Sep-04,"107,341.87 acres (434.4 km2)","107,341.87",434.4,"442,905","The tallest sand dunes in North America, up to 750 feet (230 m) tall, were formed by deposits of the ancient Rio Grande in the San Luis Valley. Abutting a variety of grasslands, shrublands, and wetlands, the park also has alpine lakes, six 13,000-foot mountains, and old-growth forests.[58]"
27,Great Smoky Mountains,"North Carolina, Tennessee",35.68°N 83.53°W,35.68,83.53,15-Jun-34,"522,426.88 acres (2,114.2 km2)","522,426.88","2,114.2","11,421,200","The Great Smoky Mountains, part of the Appalachian Mountains, span a wide range of elevations, making them home to over 400 vertebrate species, 100 tree species, and 5000 plant species. Hiking is the park's main attraction, with over 800 miles (1,300 km) of trails, including 70 miles (110 km) of the Appalachian Trail. Other activities include fishing, horseback riding, and touring nearly 80 historic structures.[59] (WHS)[60] (BR)[61]"
28,Guadalupe Mountains,Texas,31.92°N 104.87°W,31.92,104.87,15-Oct-66,"86,367.10 acres (349.5 km2)","86,367.10",349.5,"172,347","This park contains Guadalupe Peak, the highest point in Texas, as well as the scenic McKittrick Canyon filled with bigtooth maples, a corner of the arid Chihuahuan Desert, and a fossilized coral reef from the Permian era.[62]"
29,Haleakalā,Hawaii,20.72°N 156.17°W,20.72,156.17,1-Jul-61,"33,264.62 acres (134.6 km2)","33,264.62",134.6,"1,044,084","The Haleakalā volcano on Maui features a very large crater with numerous cinder cones, Hosmer's Grove of alien trees, the Kipahulu section's scenic pools of freshwater fish, and the native Hawaiian goose. The park protects the greatest number of endangered species within a U.S. National Park.[63] (BR)[64]"
30,Hawaiʻi Volcanoes,Hawaii,19.38°N 155.20°W,19.38,155.20,1-Aug-16,"325,605.28 acres (1,317.7 km2)","325,605.28","1,317.7","1,116,891","This park on the Big Island protects the Kīlauea and Mauna Loa volcanoes, two of the world's most active geological features. Diverse ecosystems range from tropical forests at sea level to barren lava beds at more than 13,000 feet (4,000 m).[65] (WHS)[66] (BR)[64]"
31,Hot Springs,Arkansas,34.51°N 93.05°W,34.51,93.05,4-Mar-21,"5,554.15 acres (22.5 km2)","5,554.15",22.5,"1,506,887","Hot Springs was established as a federal reserve by Congress on April 20, 1832—the oldest area managed by the National Park Service. Congress redesignated Hot Springs as a national park on March 4, 1921. Natural hot springs flow out of the Ouachita Mountains, providing opportunities for relaxation in a historic setting. Bathhouse Row preserves numerous examples of 19th-century architecture.[67] Hot Springs is the first national park in a city and was the smallest national park until February 22, 2018 when the Jefferson National Expansion Memorial was redesignated Gateway Arch National Park.[68]"
32,Indiana Dunes,Indiana,41.6533°N 87.0524°W,41.6533,87.0524,15-Feb-19,"15,349.08 acres (62.1 km2)","15,349.08",62.1,"1,756,079","Previously designated a national lakeshore, the dunes run for nearly 25 miles (40 km) along the southern shore of Lake Michigan. The sandy beach adjoins a grassy prairie, bog, and wetlands home to over 2,000 species.[69]"
33,Isle Royale,Michigan,48.10°N 88.55°W,48.10,88.55,3-Apr-40,"571,790.30 acres (2,314.0 km2)","571,790.30","2,314.0","25,798","The largest island in Lake Superior is a place of isolation and wilderness. Along with its many shipwrecks, waterways, and hiking trails, the park also includes over 400 smaller islands within 4.5 miles (7.2 km) of its shores. There are only 20 mammal species on the entire island, though the relationship between its wolf and moose populations is especially unique.[70] (BR)[71]"
34,Joshua Tree,California,33.79°N 115.90°W,33.79,115.90,31-Oct-94,"795,155.85 acres (3,217.9 km2)","795,155.85","3,217.9","2,942,382","Covering large areas of the Colorado and Mojave Deserts and the Little San Bernardino Mountains, this desert landscape is populated by vast stands of Joshua trees. Large changes in elevation reveal various contrasting environments including bleached sand dunes, dry lakes, rugged mountains, and maze-like clusters of monzogranite monoliths.[72] (BR)[37]"
35,Katmai,Alaska,58.50°N 155.00°W,58.50,155.00,2-Dec-80,"3,674,529.33 acres (14,870.3 km2)","3,674,529.33","14,870.3","37,818","This park on the Alaska Peninsula protects the Valley of Ten Thousand Smokes, an ash flow formed by the 1912 eruption of Novarupta, as well as Mount Katmai. Over 2,000 grizzly bears come here each year to catch spawning salmon. Other wildlife includes caribou, wolves, moose, and wolverines.[73]"
36,Kenai Fjords,Alaska,59.92°N 149.65°W,59.92,149.65,2-Dec-80,"669,650.05 acres (2,710.0 km2)","669,650.05","2,710.0","321,596","Near Seward on the Kenai Peninsula, this park protects the Harding Icefield and at least 38 glaciers and fjords stemming from it. The only area accessible to the public by road is Exit Glacier; the rest must be viewed or reached from boat tours.[74]"
37,Kings Canyon,California,36.80°N 118.55°W,36.80,118.55,4-Mar-40,"461,901.20 acres (1,869.2 km2)","461,901.20","1,869.2","699,023","Home to several giant sequoia groves and the General Grant Tree, the world's second largest measured tree, this park also features part of the Kings River, sculptor of the dramatic granite canyon that is its namesake, and the San Joaquin River, as well as Boyden Cave.[75] Although Kings Canyon National Park was designated as such in 1940, it subsumed General Grant National Park, which had been established on October 1, 1890 as the United States' fourth national park.[76][77][78](BR)[79]"
38,Kobuk Valley,Alaska,67.55°N 159.28°W,67.55,159.28,2-Dec-80,"1,750,716.16 acres (7,084.9 km2)","1,750,716.16","7,084.9","14,937","Kobuk Valley protects 61 miles (98 km) of the Kobuk River and three regions of sand dunes. Created by glaciers, the Great Kobuk, Little Kobuk, and Hunt River Sand Dunes can reach 100 feet (30 m) high and 100 °F (38 °C), and they are the largest dunes in the Arctic. Twice a year, half a million caribou migrate through the dunes and across river bluffs that expose well-preserved ice age fossils.[80]"
39,Lake Clark,Alaska,60.97°N 153.42°W,60.97,153.42,2-Dec-80,"2,619,816.49 acres (10,602.0 km2)","2,619,816.49","10,602.0","14,479","The region around Lake Clark features four active volcanoes, including Mount Redoubt, as well as an abundance of rivers, glaciers, and waterfalls. Temperate rainforests, a tundra plateau, and three mountain ranges complete the landscape.[81]"
40,Lassen Volcanic,California,40.49°N 121.51°W,40.49,121.51,9-Aug-16,"106,589.02 acres (431.4 km2)","106,589.02",431.4,"499,435","Lassen Peak, the largest lava dome volcano in the world, is joined by all three other types of volcanoes in this park: shield, cinder cone, and composite. Though Lassen itself last erupted in 1915, most of the rest of the park is continuously active. Numerous hydrothermal features, including fumaroles, boiling pools, and bubbling mud pots, are heated by molten rock from beneath the peak.[82]"
41,Mammoth Cave,Kentucky,37.18°N 86.10°W,37.18,86.10,1-Jul-41,"54,011.91 acres (218.6 km2)","54,011.91",218.6,"533,206","With more than 400 miles (640 km) of passageways explored, Mammoth Cave is the world's longest known cave system. Subterranean wildlife includes eight bat species, Kentucky cave shrimp, Northern cavefish, and cave salamanders. Above ground, the park provides recreation on the Green River, 70 miles of hiking trails, and plenty of sinkholes and springs.[83] (WHS)[84] (BR)[85]"
42,Mesa Verde,Colorado,37.18°N 108.49°W,37.18,108.49,29-Jun-06,"52,485.17 acres (212.4 km2)","52,485.17",212.4,"563,420","This area constitutes over 4,000 archaeological sites of the Ancestral Puebloan people, who lived here and elsewhere in the Four Corners region for at least 700 years. Cliff dwellings built in the 12th and 13th centuries include Cliff Palace, which has 150 rooms and 23 kivas, and the Balcony House, with its many passages and tunnels.[86] (WHS)[87]"
43,Mount Rainier,Washington,46.85°N 121.75°W,46.85,121.75,"March 2, 1899","236,381.64 acres (956.6 km2)","236,381.64",956.6,"1,518,491","Mount Rainier, an active stratovolcano, is the most prominent peak in the Cascades and is covered by 26 named glaciers including Carbon Glacier and Emmons Glacier, the largest in the contiguous United States. The mountain is popular for climbing, and more than half of the park is covered by subalpine and alpine forests and meadows seasonally in bloom with wildflowers. Paradise on the south slope is the snowiest place on Earth where snowfall is measured regularly.[88] The Longmire visitor center is the start of the Wonderland Trail, which encircles the mountain.[89]"
44,North Cascades,Washington,48.70°N 121.20°W,48.70,121.20,2-Oct-68,"504,780.94 acres (2,042.8 km2)","504,780.94","2,042.8","30,085","This complex includes two geographically distinct units of the national park, as well as Ross Lake and Lake Chelan National Recreation Areas. The highly glaciated mountains are spectacular examples of Cascade geology. Popular hiking and climbing areas include Cascade Pass, Mount Shuksan, Mount Triumph, and Eldorado Peak.[90]"
45,Olympic,Washington,47.97°N 123.50°W,47.97,123.50,29-Jun-38,"922,649.41 acres (3,733.8 km2)","922,649.41","3,733.8","3,104,455","Situated on the Olympic Peninsula, this park includes a wide range of ecosystems from Pacific shoreline to temperate rainforests to the alpine slopes of the Olympic Mountains, the tallest of which is Mount Olympus. The Hoh Rainforest and Quinault Rainforest are the wettest area in the contiguous United States, with the Hoh receiving an average of almost 12 ft (3.7 m) of rain every year.[91][92] (WHS)[93] (BR)[94]"
46,Petrified Forest,Arizona,35.07°N 109.78°W,35.07,109.78,9-Dec-62,"221,390.21 acres (895.9 km2)","221,390.21",895.9,"644,922",This portion of the Chinle Formation has a large concentration of 225-million-year-old petrified wood. The surrounding Painted Desert features eroded cliffs of red-hued volcanic rock called bentonite. Dinosaur fossils and over 350 Native American sites are also protected in this park.[95]
47,Pinnacles,California,36.48°N 121.16°W,36.48,121.16,10-Jan-13,"26,685.73 acres (108.0 km2)","26,685.73",108.0,"222,152","Named for the eroded leftovers of a portion of an extinct volcano, the park's massive black and gold monoliths of andesite and rhyolite are a popular destination for rock climbers. Hikers have access to trails crossing the Coast Range wilderness. The park is home to the endangered California condor (Gymnogyps californianus) and one of the few locations in the world where these extremely rare birds can be seen in the wild. Pinnacles also supports a dense population of prairie falcons, and more than 13 species of bat which populate its talus caves.[96]"
48,Redwood,California,41.30°N 124.00°W,41.30,124.00,2-Oct-68,"138,999.37 acres (562.5 km2)","138,999.37",562.5,"482,536","This park and the co-managed state parks protect almost half of all remaining coastal redwoods, the tallest trees on earth. There are three large river systems in this very seismically active area, and 37 miles (60 km) of protected coastline reveal tide pools and seastacks. The prairie, estuary, coast, river, and forest ecosystems contain a wide variety of animal and plant species.[97] (WHS)[98]"
49,Rocky Mountain,Colorado,40.40°N 105.58°W,40.40,105.58,26-Jan-15,"265,807.25 acres (1,075.7 km2)","265,807.25","1,075.7","4,590,493","Bisected north to south by the Continental Divide, this portion of the Rockies has ecosystems varying from over 150 riparian lakes to montane and subalpine forests to treeless alpine tundra. Wildlife including mule deer, bighorn sheep, black bears, and cougars inhabit its igneous mountains and glacial valleys. Longs Peak, a classic Colorado fourteener, and the scenic Bear Lake are popular destinations, as well as the historic Trail Ridge Road, which reaches an elevation of more than 12,000 feet (3,700 m).[99] (BR)[100]"
50,Saguaro,Arizona,32.25°N 110.50°W,32.25,110.50,14-Oct-94,"91,715.72 acres (371.2 km2)","91,715.72",371.2,"957,405","Split into the separate Rincon Mountain and Tucson Mountain districts, this park is evidence that the dry Sonoran Desert is still home to a great variety of life spanning six biotic communities. Beyond the namesake giant saguaro cacti, there are barrel cacti, chollas, and prickly pears, as well as lesser long-nosed bats, spotted owls, and javelinas.[101]"
51,Sequoia,California,36.43°N 118.68°W,36.43,118.68,"September 25, 1890","404,062.63 acres (1,635.2 km2)","404,062.63","1,635.2","1,229,594","This park protects the Giant Forest, which boasts some of the world's largest trees, the General Sherman being the largest measured tree in the park. Other features include over 240 caves, a long segment of the Sierra Nevada including the tallest mountain in the contiguous United States, and Moro Rock, a large granite dome.[102] (BR)[79]"
52,Shenandoah,Virginia,38.53°N 78.35°W,38.53,78.35,26-Dec-35,"199,223.77 acres (806.2 km2)","199,223.77",806.2,"1,264,880","Shenandoah's Blue Ridge Mountains are covered by hardwood forests that teem with a wide variety of wildlife. The Skyline Drive and Appalachian Trail run the entire length of this narrow park, along with more than 500 miles (800 km) of hiking trails passing scenic overlooks and cataracts of the Shenandoah River.[103]"
53,Theodore Roosevelt,North Dakota,46.97°N 103.45°W,46.97,103.45,10-Nov-78,"70,446.89 acres (285.1 km2)","70,446.89",285.1,"749,389","This region that enticed and influenced President Theodore Roosevelt consists of a park of three units in the northern badlands. Besides Roosevelt's historic cabin, there are numerous scenic drives and backcountry hiking opportunities. Wildlife includes American bison, pronghorn, bighorn sheep, and wild horses.[104]"
54,Virgin Islands,U.S. Virgin Islands,18.33°N 64.73°W,18.33,64.73,2-Aug-56,"15,052.53 acres (60.9 km2)","15,052.53",60.9,"112,287","This island park on Saint John preserves Taíno archaeological sites and the ruins of sugar plantations from Columbus's time, as well as all the natural environs. Surrounding the pristine beaches are mangrove forests, seagrass beds, and coral reefs.[105]"
55,Voyageurs,Minnesota,48.50°N 92.88°W,48.50,92.88,8-Jan-71,"218,222.35 acres (883.1 km2)","218,222.35",883.1,"239,656","This park protecting four lakes near the Canada–US border is a site for canoeing, kayaking, and fishing. The park also preserves a history populated by Ojibwe Native Americans, French fur traders called voyageurs, and gold miners. Formed by glaciers, the region features tall bluffs, rock gardens, islands, bays, and several historic buildings.[106]"
56,White Sands,New Mexico,32.78°N 106.17°W,32.78,106.17,"December 20, 2019[107]","146,344.31 acres (592.2 km2)","146,344.31",592.2,"603,008","Located in the mountain-ringed Tularosa Basin, White Sands consists of the southern part of a 275-square-mile (710 km2) field of white sand dunes composed of gypsum crystals—the world's largest gypsum dunefield. The park is completely within the White Sands Missile Range and is subject to closure when tests are conducted.[108]"
57,Wind Cave,South Dakota,43.57°N 103.48°W,43.57,103.48,9-Jan-03,"33,970.84 acres (137.5 km2)","33,970.84",137.5,"656,397","Wind Cave is distinctive for its calcite fin formations called boxwork, a unique formation rarely found elsewhere, and needle-like growths called frostwork. The cave is one of the longest and most complex caves in the world. Above ground is a mixed-grass prairie with animals such as bison, black-footed ferrets, and prairie dogs, and ponderosa pine forests that are home to cougars and elk.[109] The cave is culturally significant to the Lakota people as the site ""from which Wakan Tanka, the Great Mystery, sent the buffalo out into their hunting grounds.""[110]"
58,Wrangell–St. Elias,Alaska,61.00°N 142.00°W,61.00,142.00,2-Dec-80,"8,323,146.48 acres (33,682.6 km2)","8,323,146.48","33,682.6","79,450","An over 8 million acres (32,375 km2) plot of mountainous country—the largest national park in the system—protects the convergence of the Alaska, Chugach, and Wrangell-Saint Elias Ranges, which include many of the continent's tallest mountains and volcanoes, including the 18,008-foot Mount Saint Elias. More than a quarter of the park is covered with glaciers, including the tidewater Hubbard Glacier, piedmont Malaspina Glacier, and valley Nabesna Glacier.[111] (WHS)[52]"
59,Yellowstone,"Wyoming, Montana, Idaho",44.60°N 110.50°W,44.60,110.50,"March 1, 1872","2,219,790.71 acres (8,983.2 km2)","2,219,790.71","8,983.2","4,115,000","Situated on the Yellowstone Caldera, the park has an expansive network of geothermal areas including boiling mud pots, vividly colored hot springs such as Grand Prismatic Spring, and regularly erupting geysers, the best-known being Old Faithful. The yellow-hued Grand Canyon of the Yellowstone River contains several high waterfalls, and four mountain ranges traverse the park. More than 60 mammal species including timber wolves, grizzly bears, black bears, lynxes, bison, and elk, make this park one of the best wildlife viewing spots in the country.[112] (WHS)[113] (BR)[114]"
60,Yosemite,California,37.83°N 119.50°W,37.83,119.50,"October 1, 1890","761,747.50 acres (3,082.7 km2)","761,747.50","3,082.7","4,009,436","Yosemite features sheer granite cliffs, exceptionally tall waterfalls, and old-growth forests at a unique intersection of geology and hydrology. Half Dome and El Capitan rise from the park's centerpiece, the glacier-carved Yosemite Valley, and from its vertical walls drop Yosemite Falls, one of North America's tallest waterfalls at 2,425 feet (739 m) high. Three giant sequoia groves, along with a pristine wilderness in the heart of the Sierra Nevada, are home to a wide variety of rare plant and animal species.[115] (WHS)[116]"
61,Zion,Utah,37.30°N 113.05°W,37.30,113.05,19-Nov-19,"147,242.66 acres (595.9 km2)","147,242.66",595.9,"4,320,033","Located at the junction of the Colorado Plateau, Great Basin, and Mojave Desert, this park contains sandstone features such as mesas, rock towers, and canyons, including the Virgin River Narrows. The various sandstone formations and the forks of the Virgin River create a wilderness divided into four ecosystems: desert, riparian, woodland, and coniferous forest.[117]"
