,NP Name,trail_id,name,trail_type,summary,difficulty,stars,starVotes,location,url,imgSqSmall,imgSmall,imgSmallMed,imgMedium,"length, miles","ascent, ft","descent, ft","high, ft","low, ft",latitude,longitude,conditionStatus,conditionDetails,conditionDate
10,Acadia,7007410,Jordan Pond Path,Recommended Route,A nice hike around one of the most beautiful ponds in Acadia.,blue,4.4,62,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007410/jordan-pond-path,https://cdn2.apstatic.com/photos/hike/7019496_sqsmall_1554836895.jpg,https://cdn2.apstatic.com/photos/hike/7019496_small_1554836895.jpg,https://cdn2.apstatic.com/photos/hike/7019496_smallMed_1554836895.jpg,https://cdn2.apstatic.com/photos/hike/7019496_medium_1554836895.jpg,3.4,29,-28,287,273,44.3223,-68.253,Unknown,,1970-01-01 00:00:00
11,Acadia,7019362,Penobscot Mountain Loop,Recommended Route,Earn your Jordan Pond House popovers on this loop hike up to the summit of Penobscot Mountain.,black,4.8,25,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7019362/penobscot-mountain-loop,https://cdn2.apstatic.com/photos/hike/7024504_sqsmall_1554847088.jpg,https://cdn2.apstatic.com/photos/hike/7024504_small_1554847088.jpg,https://cdn2.apstatic.com/photos/hike/7024504_smallMed_1554847088.jpg,https://cdn2.apstatic.com/photos/hike/7024504_medium_1554847088.jpg,5.2,1043,-1043,1178,169,44.3205,-68.2542,Unknown,,1970-01-01 00:00:00
12,Acadia,7056769,Jordan Pond to Eagle Lake Loop,Recommended Route,Hike like a Rockefeller and enjoy the carriage roads of Acadia.,green,5.0,2,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7056769/jordan-pond-to-eagle-lake-loop,https://cdn2.apstatic.com/photos/hike/7043608_sqsmall_1555108610.jpg,https://cdn2.apstatic.com/photos/hike/7043608_small_1555108610.jpg,https://cdn2.apstatic.com/photos/hike/7043608_smallMed_1555108610.jpg,https://cdn2.apstatic.com/photos/hike/7043608_medium_1555108610.jpg,9.0,458,-457,470,276,44.3201,-68.2537,Unknown,,1970-01-01 00:00:00
13,Acadia,7087124,Parkman Mountain via Hadlock Falls,Recommended Route,"A moderately difficult, scenic route with some scrambling up to the peak.",black,5.0,1,"Tremont, Maine",https://www.hikingproject.com/trail/7087124/parkman-mountain-via-hadlock-falls,https://cdn2.apstatic.com/photos/hike/7063879_sqsmall_1571185587.jpg,https://cdn2.apstatic.com/photos/hike/7063879_small_1571185587.jpg,https://cdn2.apstatic.com/photos/hike/7063879_smallMed_1571185587.jpg,https://cdn2.apstatic.com/photos/hike/7063879_medium_1571185587.jpg,3.0,675,-675,912,250,44.3295,-68.293,Unknown,,1970-01-01 00:00:00
14,Acadia,7019352,Norumbega Mountain Loop,Recommended Route,A moderate loop hike along Norumbega Mountain and Lower Hadlock Pond with beautiful views.,blueBlack,4.0,9,"Tremont, Maine",https://www.hikingproject.com/trail/7019352/norumbega-mountain-loop,https://cdn2.apstatic.com/photos/hike/7058824_sqsmall_1558223301.jpg,https://cdn2.apstatic.com/photos/hike/7058824_small_1558223301.jpg,https://cdn2.apstatic.com/photos/hike/7058824_smallMed_1558223301.jpg,https://cdn2.apstatic.com/photos/hike/7058824_medium_1558223301.jpg,3.3,702,-706,830,193,44.3259,-68.2914,Unknown,,1970-01-01 00:00:00
15,Acadia,7007602,Murphy Lane,Trail,"A short, flat, but charming trail that connects Schooner Head Path and the Precipice Trailhead area.",green,3.0,1,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007602/murphy-lane,,,,,0.3,17,-10,97,79,44.3488,-68.182,Unknown,,1970-01-01 00:00:00
16,Acadia,7007517,Orange & Black Path,Trail,A unique and historic 'rockslide' trail with great views of Frenchman Bay and the Schoodic Peninsula,black,4.4,5,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007517/orange-black-path,https://cdn2.apstatic.com/photos/hike/7043470_sqsmall_1555108324.jpg,https://cdn2.apstatic.com/photos/hike/7043470_small_1555108324.jpg,https://cdn2.apstatic.com/photos/hike/7043470_smallMed_1555108324.jpg,https://cdn2.apstatic.com/photos/hike/7043470_medium_1555108324.jpg,0.9,218,-487,449,67,44.3515,-68.1898,Unknown,,1970-01-01 00:00:00
17,Acadia,7007390,Precipice Trail,Trail,"Arguably Acadia’s most challenging and well-known trail, and the one that tops thrill-seekers’ lists",black,4.9,27,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007390/precipice-trail,https://cdn2.apstatic.com/photos/hike/7017558_sqsmall_1554829595.jpg,https://cdn2.apstatic.com/photos/hike/7017558_small_1554829595.jpg,https://cdn2.apstatic.com/photos/hike/7017558_smallMed_1554829595.jpg,https://cdn2.apstatic.com/photos/hike/7017558_medium_1554829595.jpg,0.8,951,-28,1043,120,44.3495,-68.188,Unknown,,1970-01-01 00:00:00
18,Acadia,7007483,Orange & Black Path/Champlain Ridge,Connector,,black,0.0,0,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007483/orange-black-pathchamplain-ridge,,,,,0.1,0,-57,527,471,44.3578,-68.1918,Unknown,,1970-01-01 00:00:00
19,Acadia,7007401,Anemone Cave Trail,Connector,,greenBlue,5.0,2,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007401/anemone-cave-trail,https://cdn2.apstatic.com/photos/hike/7015015_sqsmall_1554825686.jpg,https://cdn2.apstatic.com/photos/hike/7015015_small_1554825686.jpg,https://cdn2.apstatic.com/photos/hike/7015015_smallMed_1554825686.jpg,https://cdn2.apstatic.com/photos/hike/7015015_medium_1554825686.jpg,0.2,0,-49,96,47,44.3397,-68.1773,Unknown,,1970-01-01 00:00:00
20,Acadia,7007370,Dorr Mountain Ladder Trail,Trail,"A short, fun, and classic iron rung ladder trail that climbs the east face of Dorr Mountain.",black,4.8,8,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007370/dorr-mountain-ladder-trail,https://cdn2.apstatic.com/photos/hike/7032484_sqsmall_1554933305.jpg,https://cdn2.apstatic.com/photos/hike/7032484_small_1554933305.jpg,https://cdn2.apstatic.com/photos/hike/7032484_smallMed_1554933305.jpg,https://cdn2.apstatic.com/photos/hike/7032484_medium_1554933305.jpg,0.4,685,-1,801,116,44.3519,-68.2046,All Clear,,2020-05-26 17:32:34
21,Acadia,7007393,Canon Brook Trail,Trail,"A rewarding hike through a streamed valley and up part of Cadillac Mtn to a fine gem, The Featherbed.",black,4.9,8,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007393/canon-brook-trail,https://cdn2.apstatic.com/photos/hike/7014359_sqsmall_1554824184.jpg,https://cdn2.apstatic.com/photos/hike/7014359_small_1554824184.jpg,https://cdn2.apstatic.com/photos/hike/7014359_smallMed_1554824184.jpg,https://cdn2.apstatic.com/photos/hike/7014359_medium_1554824184.jpg,2.6,890,-686,997,125,44.3482,-68.2023,Unknown,,1970-01-01 00:00:00
22,Acadia,7007385,Champlain North Ridge Trail,Trail,A steep and fairly open climb up Acadia’s easternmost ridge with distant views of the Atlantic.,black,4.5,6,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007385/champlain-north-ridge-trail,https://cdn2.apstatic.com/photos/hike/7019567_sqsmall_1554836917.jpg,https://cdn2.apstatic.com/photos/hike/7019567_small_1554836917.jpg,https://cdn2.apstatic.com/photos/hike/7019567_smallMed_1554836917.jpg,https://cdn2.apstatic.com/photos/hike/7019567_medium_1554836917.jpg,1.0,852,0,1049,196,44.3631,-68.1934,Unknown,,1970-01-01 00:00:00
23,Acadia,7007470,Great Head Access,Connector,,green,0.0,0,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007470/great-head-access,,,,,0.0,2,0,78,76,44.3338,-68.1786,Unknown,,1970-01-01 00:00:00
24,Acadia,7007489,Saterlee Connector,Connector,,green,0.0,0,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007489/saterlee-connector,,,,,0.0,0,-3,57,54,44.332,-68.1851,Unknown,,1970-01-01 00:00:00
25,Acadia,7007610,Bowl Trail,Trail,A short intermediate trail that takes you to one of Acadia’s most picturesque mountain ponds.,blue,4.1,23,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007610/bowl-trail,https://cdn2.apstatic.com/photos/hike/7029036_sqsmall_1554919784.jpg,https://cdn2.apstatic.com/photos/hike/7029036_small_1554919784.jpg,https://cdn2.apstatic.com/photos/hike/7029036_smallMed_1554919784.jpg,https://cdn2.apstatic.com/photos/hike/7029036_medium_1554919784.jpg,0.7,361,-7,428,68,44.3315,-68.1853,All Clear,Dry,2020-06-09 13:04:33
26,Acadia,7007522,Saterlee Trail,Connector,,green,0.0,0,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007522/saterlee-trail,,,,,0.3,36,-14,57,34,44.3306,-68.1844,Unknown,,1970-01-01 00:00:00
27,Acadia,7007471,Great Head Beach Access,Connector,,black,0.0,0,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007471/great-head-beach-access,,,,,0.0,0,-22,35,13,44.3297,-68.1805,Unknown,,1970-01-01 00:00:00
28,Acadia,7007514,Ocean Path,Trail,A pleasant stroll past steep cliffs and rocky tide pools.,greenBlue,4.4,48,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007514/ocean-path,https://cdn2.apstatic.com/photos/hike/7006727_sqsmall_1554321346.jpg,https://cdn2.apstatic.com/photos/hike/7006727_small_1554321346.jpg,https://cdn2.apstatic.com/photos/hike/7006727_smallMed_1554321346.jpg,https://cdn2.apstatic.com/photos/hike/7006727_medium_1554321346.jpg,2.1,165,-165,105,31,44.3297,-68.1839,All Clear,Dry,2020-06-09 13:04:33
29,Acadia,7093206,Gorham Mountain/Bowl Loop,Trail,Needs Summary,blueBlack,4.0,1,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7093206/gorham-mountainbowl-loop,https://cdn2.apstatic.com/photos/hike/7006727_sqsmall_1554321346.jpg,https://cdn2.apstatic.com/photos/hike/7006727_small_1554321346.jpg,https://cdn2.apstatic.com/photos/hike/7006727_smallMed_1554321346.jpg,https://cdn2.apstatic.com/photos/hike/7006727_medium_1554321346.jpg,3.7,743,-728,509,44,44.3299,-68.1842,Unknown,,1970-01-01 00:00:00
30,Acadia,7007406,Champlain South Ridge Trail,Trail,This section of the Champlain Ridge offers great views and links up with several key Acadia trails.,blueBlack,4.2,10,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007406/champlain-south-ridge-trail,https://cdn2.apstatic.com/photos/hike/7034338_sqsmall_1555000048.jpg,https://cdn2.apstatic.com/photos/hike/7034338_small_1555000048.jpg,https://cdn2.apstatic.com/photos/hike/7034338_smallMed_1555000048.jpg,https://cdn2.apstatic.com/photos/hike/7034338_medium_1555000048.jpg,1.5,645,-17,1047,414,44.3357,-68.1925,Unknown,,1970-01-01 00:00:00
31,Acadia,7007494,Beehive Trail,Trail,"This popular trail is short, steep, and well-maintained with iron rungs and stunning coastal views.",black,4.8,105,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007494/beehive-trail,https://cdn2.apstatic.com/photos/hike/7029036_sqsmall_1554919784.jpg,https://cdn2.apstatic.com/photos/hike/7029036_small_1554919784.jpg,https://cdn2.apstatic.com/photos/hike/7029036_smallMed_1554919784.jpg,https://cdn2.apstatic.com/photos/hike/7029036_medium_1554919784.jpg,0.6,384,-147,527,179,44.3317,-68.1876,Unknown,,1970-01-01 00:00:00
32,Acadia,7007462,Beehive Alternate Trail,Trail,An alternate trail up the backside of The Beehive.,blue,4.0,1,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007462/beehive-alternate-trail,https://cdn2.apstatic.com/photos/hike/7014420_sqsmall_1554824272.jpg,https://cdn2.apstatic.com/photos/hike/7014420_small_1554824272.jpg,https://cdn2.apstatic.com/photos/hike/7014420_smallMed_1554824272.jpg,https://cdn2.apstatic.com/photos/hike/7014420_medium_1554824272.jpg,0.1,87,0,466,378,44.3337,-68.191,Unknown,,1970-01-01 00:00:00
33,Acadia,7007469,Great Head Connector,Connector,,black,0.0,0,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007469/great-head-connector,,,,,0.2,82,-7,151,70,44.3304,-68.1776,Unknown,,1970-01-01 00:00:00
34,Acadia,7007368,Kurt Diederichs Climb,Trail,A steep trail leading partway up the eastern face of Dorr Mountain.,blueBlack,3.8,4,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007368/kurt-diederichs-climb,https://cdn2.apstatic.com/photos/hike/7017896_sqsmall_1554829981.jpg,https://cdn2.apstatic.com/photos/hike/7017896_small_1554829981.jpg,https://cdn2.apstatic.com/photos/hike/7017896_smallMed_1554829981.jpg,https://cdn2.apstatic.com/photos/hike/7017896_medium_1554829981.jpg,0.6,488,-23,564,99,44.3585,-68.2071,Minor Issues,"Dry, Fallen Trees",2020-05-26 17:33:47
35,Acadia,7007381,Jesup Path,Trail,The Jesup Path is an easy trail through the forest near Sieur de Monts Spring.,green,3.5,4,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007381/jesup-path,https://cdn2.apstatic.com/photos/hike/7024299_sqsmall_1554846687.jpg,https://cdn2.apstatic.com/photos/hike/7024299_small_1554846687.jpg,https://cdn2.apstatic.com/photos/hike/7024299_smallMed_1554846687.jpg,https://cdn2.apstatic.com/photos/hike/7024299_medium_1554846687.jpg,1.0,22,-38,100,62,44.3585,-68.2071,Unknown,,1970-01-01 00:00:00
36,Acadia,7007392,Kane Path,Trail,"A level path that skirts the western shore of The Tarn, arguably Acadia’s most underappreciated pond",green,4.5,2,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007392/kane-path,https://cdn2.apstatic.com/photos/hike/7060725_sqsmall_1563460626.jpg,https://cdn2.apstatic.com/photos/hike/7060725_small_1563460626.jpg,https://cdn2.apstatic.com/photos/hike/7060725_smallMed_1563460626.jpg,https://cdn2.apstatic.com/photos/hike/7060725_medium_1563460626.jpg,0.8,43,-14,133,98,44.3585,-68.2071,Unknown,,1970-01-01 00:00:00
37,Acadia,7007384,Beachcroft Path,Trail,The easiest route to the top of Champlain Mountain.,black,4.4,13,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007384/beachcroft-path,https://cdn2.apstatic.com/photos/hike/7014100_sqsmall_1554823787.jpg,https://cdn2.apstatic.com/photos/hike/7014100_small_1554823787.jpg,https://cdn2.apstatic.com/photos/hike/7014100_smallMed_1554823787.jpg,https://cdn2.apstatic.com/photos/hike/7014100_medium_1554823787.jpg,1.3,958,-11,1046,99,44.3585,-68.2071,Unknown,,1970-01-01 00:00:00
38,Acadia,7007468,Gorham Mountain Access,Connector,,green,0.0,0,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007468/gorham-mountain-access,,,,,0.1,0,-22,285,263,44.3311,-68.1915,Unknown,,1970-01-01 00:00:00
39,Acadia,7007599,Dorr South Ridge Trail,Trail,"A moderate, gradual, “great views” path that offers several ways to link Dorr Mtn’s trails together.",blueBlack,3.5,2,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007599/dorr-south-ridge-trail,https://cdn2.apstatic.com/photos/hike/7020139_sqsmall_1554837879.jpg,https://cdn2.apstatic.com/photos/hike/7020139_small_1554837879.jpg,https://cdn2.apstatic.com/photos/hike/7020139_smallMed_1554837879.jpg,https://cdn2.apstatic.com/photos/hike/7020139_medium_1554837879.jpg,1.3,0,-1027,1253,226,44.3547,-68.2161,Unknown,,1970-01-01 00:00:00
40,Acadia,7007482,Ocean Path - Cove Access,Connector,,black,0.0,0,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007482/ocean-path-cove-access,,,,,0.0,21,0,52,31,44.326,-68.1858,Unknown,,1970-01-01 00:00:00
41,Acadia,7007387,Schiff Path,Trail,A scenic trail that twists and turns to the top of Dorr Mountain,blueBlack,4.3,3,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007387/schiff-path,https://cdn2.apstatic.com/photos/hike/7018336_sqsmall_1554830699.jpg,https://cdn2.apstatic.com/photos/hike/7018336_small_1554830699.jpg,https://cdn2.apstatic.com/photos/hike/7018336_smallMed_1554830699.jpg,https://cdn2.apstatic.com/photos/hike/7018336_medium_1554830699.jpg,1.1,662,0,1232,570,44.3599,-68.2107,All Clear,Dry,2020-05-26 17:34:08
42,Acadia,7007382,Emery Path,Trail,The Emery Path starts near Sieur de Monts Nature Center and follows dramatic stone steps partway up.,blueBlack,3.7,3,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007382/emery-path,https://cdn2.apstatic.com/photos/hike/7018335_sqsmall_1554830697.jpg,https://cdn2.apstatic.com/photos/hike/7018335_small_1554830697.jpg,https://cdn2.apstatic.com/photos/hike/7018335_smallMed_1554830697.jpg,https://cdn2.apstatic.com/photos/hike/7018335_medium_1554830697.jpg,0.6,474,0,556,82,44.3618,-68.2081,Unknown,,1970-01-01 00:00:00
43,Acadia,7007369,Cadillac-Dorr Connector,Connector,,black,4.0,1,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007369/cadillac-dorr-connector,,,,,0.2,204,0,1234,1030,44.3558,-68.2191,Unknown,,1970-01-01 00:00:00
44,Acadia,7007601,Schooner Head Path,Trail,A stunning and historic cliff trail with terrific views of the area’s outlying isles & Champlain Mt.,greenBlue,2.8,5,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007601/schooner-head-path,,,,,2.9,191,-143,143,43,44.3733,-68.1947,Unknown,,1970-01-01 00:00:00
45,Acadia,7007498,Cadillac Summit Loop,Trail,A loop trail leading to stunning views from the top of Cadillac Mountain.,green,4.1,12,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007498/cadillac-summit-loop,https://cdn2.apstatic.com/photos/hike/7029040_sqsmall_1554919792.jpg,https://cdn2.apstatic.com/photos/hike/7029040_small_1554919792.jpg,https://cdn2.apstatic.com/photos/hike/7029040_smallMed_1554919792.jpg,https://cdn2.apstatic.com/photos/hike/7029040_medium_1554919792.jpg,0.3,47,-45,1506,1458,44.3528,-68.2244,Unknown,,1970-01-01 00:00:00
46,Acadia,7007593,Homans Path,Connector,,blueBlack,3.0,1,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007593/homans-path,https://cdn2.apstatic.com/photos/hike/7018335_sqsmall_1554830697.jpg,https://cdn2.apstatic.com/photos/hike/7018335_small_1554830697.jpg,https://cdn2.apstatic.com/photos/hike/7018335_smallMed_1554830697.jpg,https://cdn2.apstatic.com/photos/hike/7018335_medium_1554830697.jpg,0.3,0,-331,398,67,44.3621,-68.2115,Unknown,,1970-01-01 00:00:00
47,Acadia,7007603,Compass Harbor Trail,Trail,"A quiet, peaceful trail close to downtown Bar Harbor.",green,3.5,4,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007603/compass-harbor-trail,,,,,0.4,5,-39,55,18,44.3737,-68.1973,Unknown,,1970-01-01 00:00:00
48,Acadia,7007400,A. Murray Young Path,Trail,A quiet trail through the gorge between Dorr Mountain and Cadillac Mountain.,black,3.5,2,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007400/a-murray-young-path,https://cdn2.apstatic.com/photos/hike/7018334_sqsmall_1554830695.jpg,https://cdn2.apstatic.com/photos/hike/7018334_small_1554830695.jpg,https://cdn2.apstatic.com/photos/hike/7018334_smallMed_1554830695.jpg,https://cdn2.apstatic.com/photos/hike/7018334_medium_1554830695.jpg,1.2,809,-1,1027,219,44.3401,-68.2137,Unknown,,1970-01-01 00:00:00
49,Acadia,7007367,Hemlock Trail,Trail,Needs Adoption,black,5.0,1,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007367/hemlock-trail,,,,,0.5,234,-20,306,73,44.3666,-68.2127,Unknown,,1970-01-01 00:00:00
50,Acadia,7007604,Stratheden Path,Trail,A family friendly hike through the forest,green,5.0,1,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007604/stratheden-path,https://cdn2.apstatic.com/photos/hike/7043578_sqsmall_1555108544.jpg,https://cdn2.apstatic.com/photos/hike/7043578_small_1555108544.jpg,https://cdn2.apstatic.com/photos/hike/7043578_smallMed_1555108544.jpg,https://cdn2.apstatic.com/photos/hike/7043578_medium_1555108544.jpg,0.8,86,-21,159,76,44.3666,-68.2129,Unknown,,1970-01-01 00:00:00
51,Acadia,7007597,Dorr North Ridge Trail,Trail,"The shorter and more gradual of Dorr Mountain’s ridge trails, complete with some great summit views.",blueBlack,4.3,6,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007597/dorr-north-ridge-trail,https://cdn2.apstatic.com/photos/hike/7020139_sqsmall_1554837879.jpg,https://cdn2.apstatic.com/photos/hike/7020139_small_1554837879.jpg,https://cdn2.apstatic.com/photos/hike/7020139_smallMed_1554837879.jpg,https://cdn2.apstatic.com/photos/hike/7020139_medium_1554837879.jpg,0.9,976,0,1253,277,44.367,-68.2161,Unknown,,1970-01-01 00:00:00
52,Acadia,7007415,Cadillac Cliffs Path,Trail,A cool spur trail off Gorham Mountain Trail across sea cliffs and caves.,black,4.6,11,"Bar Harbor, Maine",https://www.hikingproject.com/trail/7007415/cadillac-cliffs-path,https://cdn2.apstatic.com/photos/hike/7010639_sqsmall_1554398935.jpg,https://cdn2.apstatic.com/photos/hike/7010639_small_1554398935.jpg,https://cdn2.apstatic.com/photos/hike/7010639_smallMed_1554398935.jpg,https://cdn2.apstatic.com/photos/hike/7010639_medium_1554398935.jpg,0.3,138,-2,305,169,44.319,-68.1926,Unknown,,1970-01-01 00:00:00
